origin,window_id,candidate_rows,resolved_rows,unresolved_rows,coverage_resolved,coverage_lower,coverage_upper,mean_width
primary_2016,w01_2012m01_m06,376890,364814,12076,0.8770469335058413,0.8547135769057285,0.8805221682719095,0.6649918872956118
primary_2016,w02_2012m02_m07,376890,364814,12076,0.879165821487114,0.8570245960359787,0.8825970442304121,0.665340945235394
primary_2016,w03_2012m03_m08,376890,364814,12076,0.8777349553471084,0.8556528430045902,0.8811430390830216,0.6653200651843035
primary_2016,w04_2012m04_m09,376890,364814,12076,0.8748732230670972,0.8525697153015469,0.8783411605508239,0.665031208384886
primary_2016,w05_2012m05_m10,376890,364814,12076,0.87251311627295,0.8499323410013532,0.8760327947146382,0.6647076525088493
primary_2016,w06_2012m06_m11,376890,364814,12076,0.8721129123334083,0.8494255618350182,0.8756692934277905,0.6645688455708323
primary_2016,w07_2012m07_m12,376890,364814,12076,0.8694814343747773,0.8465175515402372,0.8730929448910822,0.6641544351090525
primary_2016,w08_2012m08_2013m01,376890,364814,12076,0.8658549288130389,0.8424845445620738,0.8695640637851894,0.5005686881638921
rolling_2017,w01_2013m01_m06,77105,66091,11014,0.8571061112708236,0.7535568380779456,0.8747681732702159,0.562496881282411
rolling_2017,w02_2013m02_m07,77105,66091,11014,0.8565916690623534,0.7524285065819337,0.8743401854613838,0.5624542821226854
rolling_2017,w03_2013m03_m08,77105,66091,11014,0.8546700761071855,0.7501588742623695,0.8725374489332728,0.5622224070109993
rolling_2017,w04_2013m04_m09,77105,66091,11014,0.8552601715816072,0.7506257700538227,0.8731988846378316,0.5621829530516125
rolling_2017,w05_2013m05_m10,77105,66091,11014,0.8554720007262714,0.7508203099669282,0.8734063938784774,0.5621735581049848
rolling_2017,w06_2013m06_m11,77105,66091,11014,0.8561831414262153,0.7517411322222942,0.8739900136177939,0.5622719357684526
rolling_2017,w07_2013m07_m12,77105,66091,11014,0.855956181628361,0.7509759418974127,0.873886258997471,0.5621830723291171
rolling_2017,w08_2013m08_2014m01,77105,66091,11014,0.8553963474603199,0.7498994877115621,0.8735231178263407,0.5620254873690599
