policy,realized_return,return_cost_vs_point_pct,n_funded,weighted_default_rate,V_alpha01,Gamma_CP_alpha01,endpoint_budget_alpha01,Markov_threshold_alpha01,expected_return_net_point
Point-PD two-stage LP,196369.14000000004,0.0,225,0.11840000000000002,0.11840000000000002,0.5267355952399213,0.680579296391784,0.780579296391784,214019.1519816618
Selected CRPTO,184832.47584455396,5.874988379256577,314,0.03535,0.03535,0.1626162784537099,0.24508386600030369,0.3450838660003037,171042.87144858675
