cvar95_cap,n_feasible_policies,selected_candidate_rank,selected_paper_role,selected_policy_mode,selected_risk_tolerance,selected_gamma,selected_uncertainty_aversion,selected_realized_total_return,return_delta_vs_champion_pct,selected_decision_time_cvar95,selected_decision_time_oce_theta5,selected_realized_cvar95,selected_alpha01_weighted_miscoverage_V,selected_alpha01_gamma_cp,selected_n_funded
0.4061259446695856,1,13,robust_region_policy,blended_uncertainty,0.155,0.55,0.1,160978.00154814168,-5.565111205737463,0.4061259446695856,0.0148093053583159,0.2314957499999998,0.038975,0.133529,346
0.4095962533744661,2,14,robust_region_policy,blended_uncertainty,0.155,0.55,0.05,162753.66070085138,-4.523452264701919,0.4095962533744661,0.0160013110968861,0.1993517499999997,0.040015,0.134188,344
0.4187372498433929,4,20,robust_region_policy,blended_uncertainty,0.16,0.55,0.05,164273.35080211036,-3.631953026706874,0.4187372498433929,0.0298002181291189,0.1968979607309555,0.041975,0.140719,342
0.4222208709585116,7,15,robust_region_policy,blended_uncertainty,0.155,0.5,0.1,164689.02196237698,-3.388106914708639,0.4222208709585116,0.0349893557143048,0.1970557499999998,0.042926,0.143365,346
0.4272401974675981,10,25,robust_region_policy,blended_uncertainty,0.165,0.55,0.1,165504.23210778716,-2.90987834505689,0.4272401974675981,0.0430227541077917,0.2018572116529251,0.040975,0.146459,343
0.4278282177821706,11,26,robust_region_policy,blended_uncertainty,0.165,0.55,0.05,165547.8905382124,-2.8842669013658884,0.4278282177821706,0.04388310990703,0.1970557499999998,0.042975,0.147556,344
0.4323016615408452,13,21,robust_region_policy,blended_uncertainty,0.16,0.5,0.1,166244.65010111933,-2.4755252645790944,0.4323016615408452,0.0508198471688031,0.1970557499999998,0.042975,0.150881,341
0.4370642610648225,16,31,robust_region_policy,blended_uncertainty,0.17,0.55,0.1,167069.47757462133,-1.9916548600175177,0.4370642610648225,0.0573194736661099,0.1968157499999998,0.03905,0.1533,337
0.4421652358187773,22,27,robust_region_policy,blended_uncertainty,0.165,0.5,0.1,167692.389704731,-1.6262345095983184,0.4421652358187773,0.065465835460386,0.1987236263626536,0.03905,0.157538,344
0.4479662283974253,33,29,robust_region_policy,blended_uncertainty,0.165,0.45,0.1,168365.23091736945,-1.2315241486754518,0.4479662283974253,0.0854460764250316,0.2314957499999998,0.040431,0.17018,345
0.4488536613529953,43,43,economic_champion,blended_uncertainty,0.175,0.45,0.1,170464.5429284627,0.0,0.4488536613529953,0.1061841375366436,0.2542157499999998,0.028875,0.187987,341
