scenario_id,budget,purpose_cap,lgd,is_baseline,standardized_payoff_gamma_1_lower_cells,standardized_payoff_gamma_1_higher_cells,standardized_payoff_crosses_zero_cells,standardized_payoff_exact_zero_cells,funded_default_gamma_1_higher_cells,funded_default_gamma_1_lower_cells,funded_default_crosses_zero_cells,funded_default_exact_zero_cells,funded_binary_miscoverage_gamma_1_higher_cells,funded_binary_miscoverage_gamma_1_lower_cells,funded_binary_miscoverage_crosses_zero_cells,funded_binary_miscoverage_exact_zero_cells,activity_purpose_cap_binding_share,activity_frontier_constraint_binding_share,activity_portfolios,activity_maximum_loan_weight
b0500k_p020_l025,500000.0,0.2,0.25,False,16,1,31,0,39,1,8,0,39,0,9,0,1.0,1.0,1440,0.08000000000000448
b0500k_p020_l045,500000.0,0.2,0.45,False,32,8,8,0,32,1,15,0,39,1,8,0,1.0,1.0,1440,0.08000000000001126
b0500k_p020_l065,500000.0,0.2,0.65,False,31,8,1,8,32,8,0,8,32,3,5,8,1.0,1.0,1440,0.0800000000000165
b0500k_p025_l025,500000.0,0.25,0.25,False,16,8,24,0,24,8,16,0,39,0,9,0,1.0,1.0,1440,0.08000000000000282
b0500k_p025_l045,500000.0,0.25,0.45,False,30,2,8,8,31,1,8,8,23,1,16,8,1.0,1.0,1440,0.08000000000000006
b0500k_p025_l065,500000.0,0.25,0.65,False,32,0,8,8,32,0,8,8,32,0,8,8,1.0,1.0,1440,0.08000000000000108
b0500k_p030_l025,500000.0,0.3,0.25,False,17,8,23,0,40,1,7,0,40,6,2,0,1.0,1.0,1440,0.08000000000001112
b0500k_p030_l045,500000.0,0.3,0.45,False,24,1,15,8,31,1,8,8,24,8,8,8,1.0,1.0,1440,0.08000000000001121
b0500k_p030_l065,500000.0,0.3,0.65,False,31,0,9,8,31,0,9,8,32,0,8,8,1.0,1.0,1440,0.08000000000001108
b0500k_p100_l025,500000.0,1.0,0.25,False,15,8,25,0,25,0,23,0,24,8,16,0,0.0,1.0,1440,0.08000000000001209
b0500k_p100_l045,500000.0,1.0,0.45,False,30,1,9,8,31,1,8,8,30,0,10,8,0.0,1.0,1440,0.08000000000000625
b0500k_p100_l065,500000.0,1.0,0.65,False,24,8,8,8,24,8,8,8,32,0,8,8,0.0,1.0,1440,0.08000000000000271
b1000k_p020_l025,1000000.0,0.2,0.25,False,1,17,30,0,32,15,1,0,32,16,0,0,1.0,1.0,1440,0.04000000000000256
b1000k_p020_l045,1000000.0,0.2,0.45,False,11,8,29,0,25,8,15,0,34,8,6,0,1.0,1.0,1440,0.0400000000000051
b1000k_p020_l065,1000000.0,0.2,0.65,False,33,0,15,0,33,0,15,0,40,0,8,0,1.0,1.0,1440,0.040000000000000084
b1000k_p025_l025,1000000.0,0.25,0.25,False,14,15,19,0,24,8,16,0,32,15,1,0,1.0,1.0,1440,0.04000000000000237
b1000k_p025_l045,1000000.0,0.25,0.45,True,32,0,16,0,33,0,15,0,40,0,8,0,1.0,1.0,1440,0.04000000000000284
b1000k_p025_l065,1000000.0,0.25,0.65,False,25,0,23,0,38,0,10,0,40,0,8,0,1.0,1.0,1440,0.04000000000000424
b1000k_p030_l025,1000000.0,0.3,0.25,False,28,9,11,0,32,8,8,0,32,14,2,0,1.0,1.0,1440,0.0400000000000025
b1000k_p030_l045,1000000.0,0.3,0.45,False,18,8,22,0,32,8,8,0,33,8,7,0,1.0,1.0,1440,0.040000000000002485
b1000k_p030_l065,1000000.0,0.3,0.65,False,31,8,9,0,26,8,14,0,32,4,12,0,1.0,1.0,1440,0.04000000000000229
b1000k_p100_l025,1000000.0,1.0,0.25,False,18,8,22,0,24,8,16,0,40,8,0,0,0.0,1.0,1440,0.04000000000000118
b1000k_p100_l045,1000000.0,1.0,0.45,False,16,16,16,0,31,16,1,0,24,10,14,0,0.0,1.0,1440,0.04000000000000138
b1000k_p100_l065,1000000.0,1.0,0.65,False,31,8,9,0,24,8,16,0,24,3,21,0,0.0,1.0,1440,0.0400000000000017
b2000k_p020_l025,2000000.0,0.2,0.25,False,0,0,48,0,17,0,31,0,26,1,21,0,1.0,1.0,1440,0.020000000000003775
b2000k_p020_l045,2000000.0,0.2,0.45,False,2,0,46,0,22,0,26,0,33,0,15,0,1.0,1.0,1440,0.02000000000000912
b2000k_p020_l065,2000000.0,0.2,0.65,False,24,8,16,0,24,0,24,0,32,0,16,0,1.0,1.0,1440,0.02000000000005261
b2000k_p025_l025,2000000.0,0.25,0.25,False,0,9,39,0,32,0,16,0,21,1,26,0,1.0,1.0,1440,0.020000000000063124
