learner,learner_label,window,window_id,taxonomy_groups,role,score_stratum,candidate_stratum_rows,resolved_rows,unresolved_rows,resolved_covered_rows,coverage_resolved,coverage_lower,coverage_upper,baseline_resolved_covered_rows,baseline_coverage_resolved,baseline_coverage_lower,baseline_coverage_upper,resolved_y0_rows,resolved_y1_rows,coverage_resolved_gap_y0_minus_y1,conditional_gap_defined,coverage_gap_y0_minus_y1_lower,coverage_gap_y0_minus_y1_upper,gap_lower_unresolved_y1_rows,gap_upper_unresolved_y1_rows,average_set_size,singleton_share,set_empty_count,set_empty_share,set_zero_only_count,set_zero_only_share,set_one_only_count,set_one_only_share,set_both_count,set_both_share,candidate_rows,baseline_average_set_size,baseline_singleton_share,baseline_set_empty_count,baseline_set_empty_share,baseline_set_zero_only_count,baseline_set_zero_only_share,baseline_set_one_only_count,baseline_set_one_only_share,baseline_set_both_count,baseline_set_both_share,baseline_candidate_rows,baseline_coverage_resolved_gap_y0_minus_y1,baseline_coverage_gap_y0_minus_y1_lower,baseline_coverage_gap_y0_minus_y1_upper,baseline_gap_lower_unresolved_y1_rows,baseline_gap_upper_unresolved_y1_rows,resolved_coverage_delta_label_mondrian_minus_baseline,average_set_size_delta_label_mondrian_minus_baseline,sharp_endpoint_delta_reported
catboost_platt,CatBoost,W1,w01_2012m01_m06,5,primary_oot,0,60520,58445,2075,52479,0.8979211224227907,0.8924157303370787,0.9014210178453403,52092,0.8912995123620497,0.8607402511566424,0.8932584269662921,54571,3874,-0.013671730784674874,True,-0.042058700339379695,0.05459421967949981,1530,318,1.7391275611368142,0.26087243886318573,0,0.0,9393,0.15520489094514212,6395,0.10566754791804363,44732,0.7391275611368143,60520,0.9530898876404494,0.9530898876404494,2839,0.04691011235955056,57681,0.9530898876404494,0,0.0,0,0.0,60520,0.9545729416723168,0.9527049270273237,0.956154159076036,1968,107,0.006621610060740912,0.7860376734963648,False
catboost_platt,CatBoost,W1,w01_2012m01_m06,5,primary_oot,1,79865,77165,2700,69869,0.9054493617572734,0.9012959368935078,0.9086458398547549,67395,0.8733881941294629,0.843861516308771,0.8768171289050273,68959,8206,-0.005438519302004341,True,-0.026797365462392086,0.028504639515450115,2113,323,1.7966443373192262,0.20335566268077382,0,0.0,8504,0.10647968446753897,7737,0.09687597821323483,63624,0.7966443373192262,79865,0.9765354034933951,0.9765354034933951,1874,0.023464596506604894,77991,0.9765354034933951,0,0.0,0,0.0,79865,0.9773198567264606,0.9763570776652614,0.9781536785350113,2632,68,0.03206116762781053,0.8201089338258312,False
catboost_platt,CatBoost,W1,w01_2012m01_m06,5,primary_oot,2,79047,76495,2552,69447,0.9078632590365383,0.9031715308613862,0.9108378559591129,66661,0.871442577946271,0.8470909711943527,0.8755930016319405,65183,11312,0.04333860424424496,True,0.021733553977440118,0.07106170169848608,1946,606,1.7629891077460245,0.23701089225397548,0,0.0,11799,0.1492656267790049,6936,0.0877452654749706,60312,0.7629891077460245,79047,1.1155515073310815,0.8844484926689185,0,0.0,69913,0.8844484926689185,0,0.0,9134,0.11555150733108151,79047,0.8693422913719944,0.8469554732581175,0.8910431256911168,299,2253,0.036420681090267304,0.6474376004149429,False
catboost_platt,CatBoost,W1,w01_2012m01_m06,5,primary_oot,3,80235,77819,2416,70394,0.9045862835554299,0.9007291082445317,0.907459338194055,67919,0.8727817114072399,0.8561974200785194,0.8766124509254066,62988,14831,0.0015760119419505614,True,-0.012486565661835036,0.019471491566410197,1876,540,1.7947155231507448,0.20528447684925533,0,0.0,8623,0.10747180158285037,7848,0.09781267526640494,63764,0.7947155231507447,80235,1.3108119897800212,0.6891880102199788,0,0.0,55297,0.6891880102199788,0,0.0,24938,0.31081198978002117,80235,0.6675207335985436,0.6342494714587739,0.7005889853664459,778,1638,0.03180457214818999,0.48390353337072356,False
catboost_platt,CatBoost,W1,w01_2012m01_m06,5,primary_oot,4,77223,74890,2333,65647,0.876578982507678,0.8719293474741981,0.8803076803542986,65892,0.87985044732274,0.8674747160819963,0.8834803102702563,56141,18749,-0.03344125153956656,True,-0.04662256207820807,-0.018752838569490598,1686,647,1.740310529246468,0.259689470753532,0,0.0,8856,0.11468085932947437,11198,0.1450086114240576,57169,0.740310529246468,77223,1.471854240317004,0.528145759682996,0,0.0,40785,0.528145759682996,0,0.0,36438,0.471854240317004,77223,0.47991892900954713,0.4533911115590045,0.5120840630472855,1097,1236,-0.0032714648150620196,0.26845628892946394,False
catboost_platt,CatBoost,W2,w02_2012m02_m07,5,primary_oot,0,60520,58445,2075,52540,0.8989648387372744,0.893473231989425,0.902428949107733,51828,0.8867824450337924,0.8563780568407138,0.8887475214805023,54571,3874,-0.012553920958943254,True,-0.04093874873638814,0.05573042192349927,1533,318,1.7402346331791143,0.25976536682088563,0,0.0,9393,0.15520489094514212,6328,0.10456047587574356,44799,0.7402346331791143,60520,0.9481824190350298,0.9481824190350298,3136,0.05181758096497026,57384,0.9481824190350298,0,0.0,0,0.0,60520,0.9497352073445603,0.9477206648746502,0.9514770918096586,1959,116,0.012182393703481953,0.7920522141440846,False
catboost_platt,CatBoost,W2,w02_2012m02_m07,5,primary_oot,1,79865,77165,2700,69777,0.9042571113846951,0.8994177674826269,0.9074938959494147,67693,0.8772500485971619,0.8475928128717211,0.8807738057972829,68959,8206,0.017363680412034843,True,-0.007798364866513252,0.05648233224132704,2055,384,1.7729919238715333,0.2270080761284668,0,0.0,10492,0.13137168972641333,7638,0.09563638640205346,61735,0.7729919238715333,79865,0.9810930945971327,0.9810930945971327,1510,0.01890690540286734,78355,0.9810930945971327,0,0.0,0,0.0,79865,0.981641265099552,0.9809300236201074,0.982320658017847,2650,50,0.027007062787533176,0.7918988292744006,False
catboost_platt,CatBoost,W2,w02_2012m02_m07,5,primary_oot,2,79047,76495,2552,69777,0.9121772664880058,0.9076625298872822,0.915012587447974,66678,0.8716648146937709,0.8473313345224993,0.8758080635571243,65183,11312,0.03968685182079368,True,0.019031114627904605,0.06658788228452767,1971,581,1.773640998393361,0.22635900160663908,0,0.0,11263,0.14248485078497602,6630,0.08387415082166307,61154,0.7736409983933609,79047,1.1168292281807026,0.8831707718192974,0,0.0,69812,0.8831707718192974,0,0.0,9235,0.11682922818070263,79047,0.8678394625176804,0.8453457332300007,0.8897736488977365,301,2251,0.040512451794234905,0.6568117702126584,False
catboost_platt,CatBoost,W2,w02_2012m02_m07,5,primary_oot,3,80235,77819,2416,70236,0.9025559310708182,0.8986726490932885,0.9054901227643797,68332,0.8780888985980287,0.8621798467003178,0.8817598304979124,62988,14831,0.0006503427963608921,True,-0.013584237835810337,0.01856799927276007,1869,547,1.7912008475104382,0.2087991524895619,0,0.0,8727,0.10876799401757338,8026,0.10003115847198854,63482,0.7912008475104381,80235,1.3370848133607527,0.6629151866392472,0,0.0,53189,0.6629151866392472,0,0.0,27046,0.3370848133607528,80235,0.6396736565302408,0.6051926511865272,0.6741860748689182,845,1571,0.024467032472789474,0.4541160341496855,False
catboost_platt,CatBoost,W2,w02_2012m02_m07,5,primary_oot,4,77223,74890,2333,65639,0.8764721591667779,0.8717351048262824,0.8802040842754102,66201,0.883976498865002,0.8718516504150318,0.8874817088173212,56141,18749,-0.030168623237137093,True,-0.04352076927981878,-0.015281308775706114,1679,654,1.738303355218005,0.261696644781995,0,0.0,9064,0.11737435738057314,11145,0.14432228740142186,57014,0.738303355218005,77223,1.4880799761729018,0.5119200238270981,0,0.0,39532,0.5119200238270981,0,0.0,37691,0.48807997617290183,77223,0.4634380500293349,0.4371823899371068,0.495890960112247,1126,1207,-0.007504339698224061,0.25022337904510317,False
catboost_platt,CatBoost,W3,w03_2012m03_m08,5,primary_oot,0,60520,58445,2075,52009,0.8898793737702113,0.8847157964309319,0.893654990085922,51423,0.8798528531097614,0.8496860541969596,0.8817911434236616,54571,3874,-0.03472487855169415,True,-0.06012412271170653,0.029723265177175905,1534,295,1.745373430270985,0.2546265697290152,0,0.0,8436,0.13939193654990087,6974,0.11523463317911434,45110,0.7453734302709848,60520,0.9406311962987443,0.9406311962987443,3593,0.05936880370125578,56927,0.9406311962987443,0,0.0,0,0.0,60520,0.942313683091752,0.9400398515620716,0.9442969883568674,1943,132,0.010026520660449956,0.8047422339722407,False
catboost_platt,CatBoost,W3,w03_2012m03_m08,5,primary_oot,1,79865,77165,2700,69938,0.906343549536707,0.9010455143053904,0.9095097977837601,67525,0.8750728957428886,0.8454892631315345,0.8785450447630376,68959,8206,0.03497110436721795,True,0.0075265869281671005,0.0774103093159912,2024,425,1.760370625430414,0.2396293745695862,0,0.0,11816,0.1479496650597884,7322,0.09167970950979779,60727,0.7603706254304138,79865,0.9785137419395229,0.9785137419395229,1716,0.021486258060477055,78149,0.9785137419395229,0,0.0,0,0.0,79865,0.9792050348757958,0.978353786638462,0.9799717873154653,2640,60,0.03127065379381844,0.781856883490891,False
catboost_platt,CatBoost,W3,w03_2012m03_m08,5,primary_oot,2,79047,76495,2552,69727,0.9115236289953592,0.907017344111731,0.9143800523739042,66526,0.8696777567161252,0.845092160360292,0.8738851569319519,65183,11312,0.0392310100140002,True,0.018551403516325837,0.0662108208829135,1970,582,1.7727301478867004,0.22726985211329967,0,0.0,11280,0.14269991271015978,6685,0.08456993940313991,61082,0.7727301478867004,79047,1.1045580477437473,0.8954419522562526,0,0.0,70782,0.8954419522562526,0,0.0,8265,0.10455804774374738,79047,0.8812765205091938,0.8602865032792544,0.9011627906976744,276,2276,0.041845872279233975,0.668172100142953,False
catboost_platt,CatBoost,W3,w03_2012m03_m08,5,primary_oot,3,80235,77819,2416,70249,0.9027229853891723,0.8987100392596747,0.90565214681872,68476,0.8799393464321053,0.8642363058515611,0.883554558484452,62988,14831,0.008353945209505165,True,-0.00643998080081859,0.02682680316290597,1859,557,1.7866267838225214,0.21337321617747865,0,0.0,9224,0.11496229824889387,7896,0.09841091792858478,63115,0.7866267838225214,80235,1.3476911572256496,0.6523088427743503,0,0.0,52338,0.6523088427743503,0,0.0,27897,0.34769115722564964,80235,0.6299642640415346,0.595209275657769,0.6649777180880286,866,1550,0.02278363895706703,0.4389356265968718,False
catboost_platt,CatBoost,W3,w03_2012m03_m08,5,primary_oot,4,77223,74890,2333,65368,0.8728535184937909,0.8681221915750489,0.8766947671030652,66260,0.8847643210041394,0.8727322170855834,0.8882457298991233,56141,18749,-0.037059060610697414,True,-0.050395759263035717,-0.022285895666968803,1671,662,1.7345091488287168,0.2654908511712832,0,0.0,8928,0.11561322403947011,11574,0.14987762713181307,56721,0.7345091488287169,77223,1.4919000815819121,0.5080999184180879,0,0.0,39237,0.5080999184180879,0,0.0,37986,0.4919000815819121,77223,0.460291215531495,0.4340173003419834,0.49270567002556775,1135,1198,-0.011910802510348484,0.24260906724680464,False
catboost_platt,CatBoost,W4,w04_2012m04_m09,5,primary_oot,0,60520,58445,2075,51960,0.8890409786979211,0.8836582947785856,0.8928453403833444,50814,0.8694328000684404,0.8396232650363517,0.8713648380700595,54571,3874,-0.029817217843554844,True,-0.056588072776113274,0.03685031720564641,1519,308,1.7380865829477858,0.26191341705221416,0,0.0,8847,0.14618307997356245,7004,0.11573033707865168,44669,0.7380865829477858,60520,0.9291804362194316,0.9291804362194316,4286,0.0708195637805684,56234,0.9291804362194316,0,0.0,0,0.0,60520,0.9311539095856773,0.928533576975788,0.9334950081427459,1921,154,0.01960817862948072,0.8089061467283543,False
catboost_platt,CatBoost,W4,w04_2012m04_m09,5,primary_oot,1,79865,77165,2700,70354,0.9117345946996696,0.9069054028673387,0.914718587616603,67693,0.8772500485971619,0.8475928128717211,0.8807738057972829,68959,8206,0.025730971121006863,True,0.0005847530827927383,0.06487237082428032,2076,384,1.7815188129969324,0.21848118700306768,0,0.0,10492,0.13137168972641333,6957,0.08710949727665436,62416,0.7815188129969324,79865,0.9810930945971327,0.9810930945971327,1510,0.01890690540286734,78355,0.9810930945971327,0,0.0,0,0.0,79865,0.981641265099552,0.9809300236201074,0.982320658017847,2650,50,0.03448454610250762,0.8004257183997997,False
catboost_platt,CatBoost,W4,w04_2012m04_m09,5,primary_oot,2,79047,76495,2552,69472,0.9081900777828616,0.9036522575176793,0.9111541234961479,66010,0.8629322177920126,0.837223424038863,0.8673573949675509,65183,11312,0.0353189470527987,True,0.014607693637421704,0.062264425915794924,1959,593,1.768606019203765,0.23139398079623516,0,0.0,11280,0.14269991271015978,7011,0.08869406808607537,60756,0.7686060192037648,79047,1.0652776196440092,0.9347223803559908,0,0.0,73887,0.9347223803559908,0,0.0,5160,0.06527761964400926,79047,0.9268917963224894,0.913168437554433,0.9396085877026433,170,2382,0.04525785999084908,0.7033283995597557,False
catboost_platt,CatBoost,W4,w04_2012m04_m09,5,primary_oot,3,80235,77819,2416,70129,0.9011809455274419,0.8971022621050664,0.9041565401632704,68171,0.8760199951168738,0.8599364367171434,0.8797532249018508,62988,14831,0.010447334501003103,True,-0.004662935150654857,0.0292055583586131,1850,566,1.7820153299682184,0.21798467003178165,0,0.0,9500,0.11840219355642799,7990,0.09958247647535365,62745,0.7820153299682183,80235,1.3268274443821275,0.6731725556178725,0,0.0,54012,0.6731725556178725,0,0.0,26223,0.3268274443821275,80235,0.650529296743308,0.6162100019160759,0.6843675781012118,826,1590,0.025160950410568095,0.4551878855860909,False
catboost_platt,CatBoost,W4,w04_2012m04_m09,5,primary_oot,4,77223,74890,2333,64837,0.8657631192415542,0.8610129106613315,0.8698185773668466,66478,0.887675257043664,0.875917796511402,0.8910687230488326,56141,18749,-0.04872299137999825,True,-0.06206774947609296,-0.03395487113415669,1653,680,1.7256128355541742,0.2743871644458257,0,0.0,8793,0.11386504020822812,12396,0.1605221242375976,56034,0.7256128355541743,77223,1.5039949237921344,0.49600507620786555,0,0.0,38303,0.49600507620786555,0,0.0,38920,0.5039949237921345,77223,0.4486639287428663,0.4224588188027321,0.481048245393845,1163,1170,-0.021912137802109766,0.22161791176203982,False
catboost_platt,CatBoost,W5,w05_2012m05_m10,5,primary_oot,0,60520,58445,2075,51345,0.8785182650355035,0.8734302709847984,0.8826834104428288,50605,0.8658567884335701,0.8361698612029081,0.8677627230667548,54571,3874,-0.04744542513976302,True,-0.07275661806261619,0.016201955895480402,1515,291,1.734319233311302,0.26568076668869794,0,0.0,8351,0.1379874421678784,7728,0.12769332452081955,44441,0.734319233311302,60520,0.9252148050231328,0.9252148050231328,4526,0.07478519497686716,55994,0.9252148050231328,0,0.0,0,0.0,60520,0.9273240365762034,0.9245624292030548,0.9297841828514775,1912,163,0.012661476601933397,0.8091044282881692,False
