variant,rows_total,default_rate,auc_roc,coverage_90,min_group_coverage_90,alpha01_coverage,coverage90_pass,alpha01_pass,available_oot_candidates,robust_objective_all_candidates,price_of_robustness_pct
main_chargedoff_or_defaulted,54807,0.3091758352035324,0.7074290432845566,0.9205159821682634,0.8850308641975309,0.9943090202029784,True,True,10531,199419.0887756553,0.0946190194785686
defaulted_only,42862,0.1166534459427931,0.6796193367985865,0.9148300336197236,0.8671328671328671,0.9947702652222636,True,True,8019,272969.2286232216,0.0338142847144336
chargedoff_only,49807,0.2398257273074066,0.7131638982556929,0.9035622908876204,0.8355855855855856,0.99212753395001,True,True,10150,205828.04819793423,0.0942093080550645
