charged_off_lag_months,conformal_fit_rows,conformal_fit_coverage,resolved_empirical_coverage,all_candidate_coverage_lower,all_candidate_coverage_upper,mean_interval_width,upper_endpoint_one_share
0,33978,0.900200129495556,0.869266626338825,0.8470243307065722,0.8727665897211387,0.6640039753580885,0.15819735201252355
3,33971,0.9002090017956492,0.8691297671477723,0.8468492132983099,0.8726339250179097,0.6639751605770607,0.157345644617793
6,33909,0.9001739951045445,0.8674518734654664,0.8450715062750405,0.8709729629334819,0.6637491227501693,0.1521982541325055
12,33448,0.9001734034919876,0.8580660701430726,0.8352145188251214,0.8617050067658999,0.4995473625217101,0.1250630157340338
