period,metric,score_lower,score_upper,policies,development_max_upper,classification,exceeds_all_development_upper
2016-04,default_gap,0.3736178179919768,0.3736178179919768,240,0.2099011220405951,definitely_exceeds,True
2016-04,miscoverage_excess,0.33945000000001,0.33945000000001,240,0.203775,definitely_exceeds,True
2016-04,payoff_shortfall,0.252513249005255,0.252513249005255,240,0.1391344600038786,definitely_exceeds,True
2016-05,default_gap,0.2755830279778666,0.2755830279778666,240,0.2099011220405951,definitely_exceeds,True
2016-05,miscoverage_excess,0.2545749999999999,0.2545749999999999,240,0.203775,definitely_exceeds,True
2016-05,payoff_shortfall,0.1844615438772587,0.1844615438772587,240,0.1391344600038786,definitely_exceeds,True
2016-06,default_gap,0.250224870138526,0.250224870138526,240,0.2099011220405951,definitely_exceeds,True
2016-06,miscoverage_excess,0.3182250000000004,0.3182250000000004,240,0.203775,definitely_exceeds,True
2016-06,payoff_shortfall,0.1581419995013049,0.1581419995013049,240,0.1391344600038786,definitely_exceeds,True
2016-07,default_gap,0.2194462494162241,0.2194462494162241,240,0.2099011220405951,definitely_exceeds,True
2016-07,miscoverage_excess,0.2445749999999999,0.2445749999999999,240,0.203775,definitely_exceeds,True
2016-07,payoff_shortfall,0.1535469866823687,0.1535469866823687,240,0.1391344600038786,definitely_exceeds,True
2016-08,default_gap,0.3424435318944032,0.3424435318944032,240,0.2099011220405951,definitely_exceeds,True
2016-08,miscoverage_excess,0.3316999999999981,0.3316999999999981,240,0.203775,definitely_exceeds,True
2016-08,payoff_shortfall,0.2385453001031754,0.2385453001031754,240,0.1391344600038786,definitely_exceeds,True
2016-09,default_gap,0.2882423960253481,0.3032423960253481,240,0.2099011220405951,definitely_exceeds,True
2016-09,miscoverage_excess,0.2722064244846351,0.275475,240,0.203775,definitely_exceeds,True
2016-09,payoff_shortfall,0.1902995933616911,0.1957372345771117,240,0.1391344600038786,definitely_exceeds,True
2016-10,default_gap,0.2976166033916033,0.2976166033916033,240,0.2099011220405951,definitely_exceeds,True
2016-10,miscoverage_excess,0.2697688616351071,0.2697688616351071,240,0.203775,definitely_exceeds,True
2016-10,payoff_shortfall,0.1953682601798066,0.1953682601798066,240,0.1391344600038786,definitely_exceeds,True
2016-11,default_gap,0.3865578944650413,0.3935332144157901,240,0.2099011220405951,definitely_exceeds,True
2016-11,miscoverage_excess,0.3676816459292479,0.3676816459292479,240,0.203775,definitely_exceeds,True
2016-11,payoff_shortfall,0.2775869871631763,0.2824687871631763,240,0.1391344600038786,definitely_exceeds,True
2016-12,default_gap,0.4339252366471307,0.4339252366471307,240,0.2099011220405951,definitely_exceeds,True
2016-12,miscoverage_excess,0.422275,0.422275,240,0.203775,definitely_exceeds,True
2016-12,payoff_shortfall,0.3157690389659338,0.3157690389659338,240,0.1391344600038786,definitely_exceeds,True
2017-01,default_gap,0.2299822058058433,0.2299822058058433,240,0.2099011220405951,definitely_exceeds,True
2017-01,miscoverage_excess,0.2106000000000006,0.2106000000000006,240,0.203775,definitely_exceeds,True
2017-01,payoff_shortfall,0.1581469442705535,0.1581469442705535,240,0.1391344600038786,definitely_exceeds,True
2017-02,default_gap,0.3194225611953543,0.3494225611953543,240,0.2099011220405951,definitely_exceeds,True
2017-02,miscoverage_excess,0.281725000000024,0.311725000000024,240,0.203775,definitely_exceeds,True
2017-02,payoff_shortfall,0.2163120925251329,0.2378240925251329,240,0.1391344600038786,definitely_exceeds,True
2017-03,default_gap,0.255383501415063,0.271383501415063,240,0.2099011220405951,definitely_exceeds,True
2017-03,miscoverage_excess,0.22595,0.2419499999999999,240,0.203775,definitely_exceeds,True
2017-03,payoff_shortfall,0.1790564268273494,0.1908468268273494,240,0.1391344600038786,definitely_exceeds,True
2017-04,default_gap,0.3192262456874646,0.3432262456874646,240,0.2099011220405951,definitely_exceeds,True
2017-04,miscoverage_excess,0.2977999999999999,0.3218,240,0.203775,definitely_exceeds,True
2017-04,payoff_shortfall,0.2215751640667786,0.2368427640667786,240,0.1391344600038786,definitely_exceeds,True
2017-05,default_gap,0.2953710571150545,0.4244459295690254,240,0.2099011220405951,definitely_exceeds,True
2017-05,miscoverage_excess,0.2704796928199073,0.38485,240,0.203775,definitely_exceeds,True
2017-05,payoff_shortfall,0.2103469967437252,0.2866539812654132,240,0.1391344600038786,definitely_exceeds,True
2017-06,default_gap,0.3210511861467167,0.5279537710099754,240,0.2099011220405951,definitely_exceeds,True
2017-06,miscoverage_excess,0.2901055323515075,0.4814812558473303,240,0.203775,definitely_exceeds,True
2017-06,payoff_shortfall,0.2135618473008654,0.3411428500082589,240,0.1391344600038786,definitely_exceeds,True
