learner,learner_label,window,window_id,taxonomy_groups,role,score_stratum,label,alpha,fit_rows,finite_sample_rank,threshold,threshold_is_infinite,score_stratum_present,candidate_stratum_rows,resolved_label_rows,resolved_label_covered_rows,coverage_resolved_label,baseline_resolved_label_covered_rows,baseline_coverage_resolved_label,unresolved_stratum_rows,unresolved_label_covered_if_assigned_rows,unresolved_label_missed_if_assigned_rows,baseline_unresolved_label_covered_if_assigned_rows,baseline_unresolved_label_missed_if_assigned_rows,conditional_coverage_defined,coverage_label_lower,coverage_label_upper,baseline_coverage_label_lower,baseline_coverage_label_upper,label_prevalence_lower,label_prevalence_upper,coverage_upper_below_nominal,identification_state_at_nominal,baseline_identification_state_at_nominal,resolved_coverage_delta_label_mondrian_minus_baseline,sharp_endpoint_delta_reported
catboost_platt,CatBoost,W1,w01_2012m01_m06,5,primary_oot,0,0,0.1,1733,1561,0.04769105856022111,False,True,60520,54571,48951,0.8970148980227594,52092,0.9545729416723168,2075,1848,227,1968,107,True,0.89329902551188,0.9003881671068257,0.9527049270273236,0.956154159076036,0.9017019167217448,0.9359881031064111,False,crosses_nominal,robust_at_or_above_nominal,-0.05755804364955746,False
catboost_platt,CatBoost,W1,w01_2012m01_m06,5,primary_oot,0,1,0.1,96,88,0.9759355646919441,False,True,60520,3874,3528,0.9106866288074342,0,0.0,2075,1757,318,0,2075,True,0.8416030534351145,0.9385544308293376,0.0,0.0,0.0640118968935889,0.09829808327825512,False,crosses_nominal,robust_shortfall,0.9106866288074342,False
catboost_platt,CatBoost,W1,w01_2012m01_m06,5,primary_oot,1,0,0.1,2247,2024,0.07739053834856295,False,True,79865,68959,62399,0.9048710103104743,67395,0.9773198567264606,2700,2436,264,2632,68,True,0.9014200482498591,0.9081168149030044,0.9763570776652615,0.9781536785350113,0.8634445626995555,0.897251612095411,False,robust_at_or_above_nominal,robust_at_or_above_nominal,-0.07244884641598631,False
catboost_platt,CatBoost,W1,w01_2012m01_m06,5,primary_oot,1,1,0.1,190,172,0.9464302357175745,False,True,79865,8206,7470,0.9103095296124787,0,0.0,2700,2377,323,0,2700,True,0.8758353851565248,0.9304545025040158,0.0,0.0,0.102748387904589,0.1365554373004445,False,crosses_nominal,robust_shortfall,0.9103095296124787,False
catboost_platt,CatBoost,W1,w01_2012m01_m06,5,primary_oot,2,0,0.1,2870,2584,0.1089584572738806,False,True,79047,65183,59595,0.9142721261678659,65183,1.0,2552,2325,227,2552,0,True,0.911099220302706,0.9172246252296025,1.0,1.0,0.82461067466191,0.8568952648424355,False,robust_at_or_above_nominal,robust_at_or_above_nominal,-0.08572787383213415,False
catboost_platt,CatBoost,W1,w01_2012m01_m06,5,primary_oot,2,1,0.1,379,342,0.9151031512469199,False,True,79047,11312,9852,0.870933521923621,1478,0.13065770862800566,2552,2173,379,299,2253,True,0.8426995124454709,0.8917315535780497,0.10895687430888315,0.1530445267418827,0.1431047351575645,0.17538932533808999,True,robust_shortfall,robust_shortfall,0.7402758132956153,False
catboost_platt,CatBoost,W1,w01_2012m01_m06,5,primary_oot,3,0,0.1,3047,2744,0.14814476585254135,False,True,80235,62988,56997,0.9048866450752524,62988,1.0,2416,2161,255,2416,0,True,0.9012380816849296,0.9080415662558136,1.0,1.0,0.7850439334455038,0.8151554807752228,False,robust_at_or_above_nominal,robust_at_or_above_nominal,-0.09511335492474757,False
catboost_platt,CatBoost,W1,w01_2012m01_m06,5,primary_oot,3,1,0.1,556,502,0.8843183958524242,False,True,80235,14831,13397,0.9033106331333018,4931,0.3324792664014564,2416,2131,285,778,1638,True,0.8862794390050278,0.9154580827732579,0.29941101463355396,0.3657505285412262,0.1848445192247772,0.21495606655449617,False,crosses_nominal,robust_shortfall,0.5708313667318454,False
catboost_platt,CatBoost,W1,w01_2012m01_m06,5,primary_oot,4,0,0.1,3007,2708,0.24732605601788607,False,True,77223,56141,48742,0.8682068363584546,56141,1.0,2333,1960,373,2333,0,True,0.8624765544820753,0.8726527942720436,1.0,1.0,0.7269984331093068,0.7572096396151405,True,robust_shortfall,robust_at_or_above_nominal,-0.1317931636415454,False
catboost_platt,CatBoost,W1,w01_2012m01_m06,5,primary_oot,4,1,0.1,823,742,0.8405314045853097,False,True,77223,18749,16905,0.9016480878980212,9751,0.5200810709904529,2333,2059,274,1097,1236,True,0.8886610944645955,0.9113802383698577,0.4879159369527145,0.5466088884409956,0.24279036038485943,0.2730015668906932,False,crosses_nominal,robust_shortfall,0.3815670169075684,False
