contrast,role,policy_a,policy_b,policy_a_capital,policy_b_capital,funded_union_loans,unresolved_union_loans,expected_objective_difference,realized_payoff_difference_lower,realized_payoff_difference_upper,realized_payoff_rate_difference_lower,realized_payoff_rate_difference_upper,weighted_default_difference_lower,weighted_default_difference_upper,weighted_miscoverage_difference_lower,weighted_miscoverage_difference_upper,payoff_direction_sign_robust,default_direction_sign_robust,miscoverage_direction_sign_robust,causal_interpretation,dropped_period
selected_conformal_guardrail_minus_same_threshold_point_pd,primary_oot,selected_conformal_guardrail,same_threshold_point_pd,14000000.0,14000000.0,2113,51,-221014.04124240065,-300801.8178261525,-43048.64959525817,-0.0214858441304394,-0.0030749035425184,-0.0460976847261259,-0.0187386775617516,0.0086666009881598,0.0305041795811054,True,True,True,False,2017-02
selected_conformal_guardrail_minus_same_threshold_point_pd,primary_oot,selected_conformal_guardrail,same_threshold_point_pd,14000000.0,14000000.0,2108,52,-225649.8653704878,-340445.96702366904,-75782.5187927747,-0.0243175690731192,-0.0054130370566267,-0.0428533942305759,-0.0148015299233445,0.0145858914837097,0.0371163272195126,True,True,True,False,2017-03
selected_conformal_guardrail_minus_same_threshold_point_pd,primary_oot,selected_conformal_guardrail,same_threshold_point_pd,14000000.0,14000000.0,2092,49,-219282.89265173068,-297719.6438197541,-52813.29558885976,-0.0212656888442681,-0.0037723782563471,-0.0461506058757166,-0.0201701701399138,0.0110601084099976,0.0315191155743718,True,True,True,False,2017-04
selected_conformal_guardrail_minus_same_threshold_point_pd,primary_oot,selected_conformal_guardrail,same_threshold_point_pd,14000000.0,14000000.0,2080,38,-215397.40820715064,-302687.25182425766,-113047.06359336327,-0.0216205179874469,-0.0080747902566688,-0.0384993439470569,-0.018626051068397,0.0143810131958001,0.0316828775030315,True,True,True,False,2017-05
selected_conformal_guardrail_minus_same_threshold_point_pd,primary_oot,selected_conformal_guardrail,same_threshold_point_pd,14000000.0,14000000.0,2088,18,-210740.60946799957,-167720.19497801308,-66029.5549780131,-0.0119800139270009,-0.0047163967841437,-0.0439979584947731,-0.0330551013519159,0.0074466843623697,0.0154395415052269,True,True,True,False,2017-06
selected_conformal_guardrail_minus_development_matched_point_pd,primary_oot,selected_conformal_guardrail,development_matched_point_pd,14000000.0,14000000.0,1846,46,7848.7203541127965,-480390.26695374807,-269770.3996018162,-0.0343135904966962,-0.0192693142572725,0.0341513881634509,0.0575688453216884,0.026480888565763,0.0470412028668577,True,True,True,False,2016-04
selected_conformal_guardrail_minus_development_matched_point_pd,primary_oot,selected_conformal_guardrail,development_matched_point_pd,14000000.0,14000000.0,1854,46,7617.063424192369,-442443.7924289906,-231823.92507705872,-0.0316031280306421,-0.0165588517912184,0.0295994709764012,0.0530169281346387,0.0219843285215705,0.0425446428226652,True,True,True,False,2016-05
selected_conformal_guardrail_minus_development_matched_point_pd,primary_oot,selected_conformal_guardrail,development_matched_point_pd,14000000.0,14000000.0,1857,46,8677.762690750416,-494366.4605494077,-283746.5931974759,-0.0353118900392434,-0.0202676137998197,0.0351297914469614,0.0585472486051989,0.0268682204207021,0.0474285347217967,True,True,True,False,2016-06
selected_conformal_guardrail_minus_development_matched_point_pd,primary_oot,selected_conformal_guardrail,development_matched_point_pd,14000000.0,14000000.0,1870,46,6692.626162503846,-463617.0335857223,-252997.1662337905,-0.0331155023989801,-0.0180712261595564,0.0316834673729195,0.055100924531157,0.0238218963466602,0.0443822106477549,True,True,True,False,2016-07
selected_conformal_guardrail_minus_development_matched_point_pd,primary_oot,selected_conformal_guardrail,development_matched_point_pd,14000000.0,14000000.0,1850,46,9164.53383171698,-474158.1679819135,-263538.3006299817,-0.0338684405701366,-0.0188241643307129,0.033392781303842,0.0568102384620795,0.0241909955895562,0.0447513098906509,True,True,True,False,2016-08
