period,policy,risk_tolerance,gamma,n_funded,expected_objective,realized_return,weighted_outcome,weighted_miscoverage,weighted_pd_point,weighted_pd_effective,endpoint_budget,markov_loss_threshold
full_oot,Calibration-selected 50/50 CRPTO,0.17,0.5,308,168271.56287282018,179327.5851322598,0.039375,0.036875,0.0819489105765324,0.17,0.2580510894234676,0.5742788554403055
full_oot,More-conservative 75% blend,0.17,0.75,312,160690.12704075055,172939.50485426714,0.035875,0.035875,0.0788113673633701,0.1699999999999999,0.2003962108788766,0.5166239768957146
full_oot,Point-PD matched-tau,0.17,0.0,225,214019.1519816618,196369.14000000004,0.1184,0.0419,0.1538437011518627,0.1538437011518627,0.9213174385285344,1.2375452045453723
2018H1,Calibration-selected 50/50 CRPTO,0.17,0.5,260,123713.651457411,92530.7342546382,0.106703492661675,0.0974284926616751,0.0808296789072766,0.17,0.2591703210927234,0.5753980871095614
2018H1,More-conservative 75% blend,0.17,0.75,263,116631.43710632224,75935.74005281724,0.12065,0.11815,0.0758885509922111,0.17,0.2013704830025962,0.5175982490194342
2018H1,Point-PD matched-tau,0.17,0.0,211,176503.44846593234,118101.99096593227,0.190825,0.076425,0.17,0.17,0.9389119545998964,1.2551397206167343
2018H2,Calibration-selected 50/50 CRPTO,0.17,0.5,289,138315.09206362677,156185.50718903824,0.026725,0.026725,0.0775592058342477,0.1699999999999998,0.2624407941657518,0.5786685601825898
2018H2,More-conservative 75% blend,0.17,0.75,286,131160.69145112435,145764.2646632018,0.031025,0.031025,0.0752711349157277,0.1699999999999999,0.2015762883614241,0.517804054378262
2018H2,Point-PD matched-tau,0.17,0.0,256,192790.6360653248,95603.57631688572,0.2367281267296992,0.113175,0.17,0.17,0.9155458351509776,1.2317736011678155
2019H1,Calibration-selected 50/50 CRPTO,0.17,0.5,244,137182.83555860247,123590.68683599537,0.077325,0.0617,0.0781281806164286,0.17,0.2618718193835714,0.5780995854004094
2019H1,More-conservative 75% blend,0.17,0.75,241,129155.4740135068,117840.14770205291,0.0714,0.0608,0.0725032304189913,0.1699999999999999,0.2024989231936695,0.5187266892105076
2019H1,Point-PD matched-tau,0.17,0.0,203,191975.2452370317,144281.46023703172,0.170275,0.038275,0.17,0.17,0.8848375856531457,1.2010653516699836
2019H2,Calibration-selected 50/50 CRPTO,0.17,0.5,219,136249.87920464447,110251.95086330731,0.10325,0.10325,0.0784966036859173,0.1699999999999999,0.2615033963140826,0.5777311623309205
2019H2,More-conservative 75% blend,0.17,0.75,220,127777.26882054852,99327.40175400236,0.10325,0.10325,0.0730478509632306,0.17,0.2023173830122564,0.5185451490290944
2019H2,Point-PD matched-tau,0.17,0.0,129,197742.1451160193,256966.1951160193,0.023775,0.0079,0.1699999999999999,0.1699999999999999,0.8988048868151989,1.2150326528320368
2020+,Calibration-selected 50/50 CRPTO,0.17,0.5,166,113753.93195239925,99689.53961659266,0.0837749999999999,0.0837749999999999,0.075537928142652,0.17,0.264462071857348,0.580689837874186
2020+,More-conservative 75% blend,0.17,0.75,169,106744.29312891632,83162.7196944619,0.093775,0.093775,0.0673508590345457,0.17,0.2042163803218181,0.520444146338656
2020+,Point-PD matched-tau,0.17,0.0,159,154068.98539948836,218629.1353994884,0.0169,0.0,0.17,0.17,0.861424853142836,1.177652619159674
