policy,n_funded,expected_objective,realized_return,weighted_outcome,weighted_miscoverage,endpoint_budget,markov_loss_threshold,return_delta_vs_selected,default_delta_vs_selected,threshold_delta_vs_selected
Calibration-selected 50/50 CRPTO,308,168271.56287282018,179327.5851322598,0.039375,0.036875,0.2580510894234676,0.5742788554403055,0.0,0.0,0.0
More-conservative 75% blend,312,160690.12704075055,172939.50485426714,0.035875,0.035875,0.2003962108788766,0.5166239768957146,-6388.080277992645,-0.003500000000000003,-0.05765487854459095
Point-PD matched-tau,225,214019.1519816618,196369.14000000004,0.1184,0.0419,0.9213174385285344,1.2375452045453723,17041.554867740255,0.07902500000000001,0.6632663491050668
