conformal_group,rows,residual_quantile,pd_min,pd_mean,pd_max,upper_mean,upper_one_share,score_min,score_mean,score_max,unsaturated_score_formula,saturated_score_formula
0,108209,0.0645067881242537,0.0039972264812989,0.0449181281600156,0.0660628211765397,0.1094249162842693,0.0,0.0201239235123624,0.061044825191079,0.0821895182076031,p + gamma*c_g,gamma + (1-gamma)*p
1,86410,0.9014804972388069,0.066063032523533,0.0820164020674995,0.0987370373588407,0.9834961733262616,0.0069783589862284,0.2914331568332348,0.3073863448821901,0.3240527780191305,p + gamma*c_g,gamma + (1-gamma)*p
2,65456,0.8772621078296994,0.0987378404777809,0.1134137880209744,0.1291554291731818,0.9900663859698722,0.1935040332437057,0.3180533674352058,0.3325769375081989,0.3468665718798864,p + gamma*c_g,gamma + (1-gamma)*p
3,57384,0.8502632862384557,0.1291573955767551,0.1466838458268244,0.1675792607356996,0.993543162099316,0.3982120451693852,0.341723217136369,0.3583986748949473,0.3756844455517747,p + gamma*c_g,gamma + (1-gamma)*p
4,59431,0.8010218262090232,0.1675793937290522,0.2185978907320225,0.5929204947745669,0.992128116362972,0.5397856337601589,0.367834850281308,0.4119804471397598,0.6946903710809251,p + gamma*c_g,gamma + (1-gamma)*p
