learner,learner_label,pair_id,transition,pair_index,window_from,window_to,taxonomy_groups,strata_rows,candidate_rows,resolved_rows,unresolved_rows,potential_y0_crossed_rows,potential_y1_crossed_rows,resolved_y0_crossed_rows,resolved_y1_crossed_rows,resolved_y0_delta_numerator,resolved_y1_delta_numerator,resolved_delta_numerator,resolved_covered_from_numerator,resolved_covered_to_numerator,delta_lower_numerator,delta_upper_numerator,delta_width_numerator,threshold_decrease_strata,threshold_equal_strata,threshold_increase_strata,resolved_delta_rate,delta_lower,delta_upper,delta_width
catboost_monotonic_platt,Monotonic CatBoost,01:w02_2012m02_m07->w03_2012m03_m08,W2--W3,1,w02_2012m02_m07,w03_2012m03_m08,5,5,376890,364814,12076,698,2073,590,391,-214,-13,-227,322168,321941,-296,-193,103,3,0,2,-0.0006222348923012,-0.000785375043116,-0.0005120857544641,0.0002732892886518
catboost_monotonic_platt,Monotonic CatBoost,02:w03_2012m03_m08->w04_2012m04_m09,W3--W4,2,w03_2012m03_m08,w04_2012m04_m09,5,5,376890,364814,12076,429,6151,386,1022,-386,-602,-988,321941,320953,-1172,-954,218,4,0,1,-0.002708229399091,-0.0031096606436891,-0.0025312425376104,0.0005784181060786
catboost_monotonic_platt,Monotonic CatBoost,03:w04_2012m04_m09->w05_2012m05_m10,W4--W5,3,w04_2012m04_m09,w05_2012m05_m10,5,5,376890,364814,12076,235,1965,206,294,36,-282,-246,320953,320707,-309,-236,73,3,0,2,-0.0006743162268991,-0.0008198678659555,-0.0006261773992411,0.0001936904667144
catboost_monotonic_platt,Monotonic CatBoost,04:w05_2012m05_m10->w06_2012m06_m11,W5--W6,4,w05_2012m05_m10,w06_2012m06_m11,5,5,376890,364814,12076,174,1889,155,399,103,-399,-296,320707,320411,-366,-290,76,4,0,1,-0.0008113723705778,-0.0009711056276367,-0.0007694552787285,0.0002016503489081
catboost_monotonic_platt,Monotonic CatBoost,05:w06_2012m06_m11->w07_2012m07_m12,W6--W7,5,w06_2012m06_m11,w07_2012m07_m12,5,5,376890,364814,12076,637,3354,531,633,-531,-633,-1164,320411,319247,-1269,-1174,95,4,1,0,-0.00319066702484,-0.0033670301679535,-0.0031149672318183,0.0002520629361352
catboost_monotonic_platt,Monotonic CatBoost,06:w07_2012m07_m12->w08_2012m08_2013m01,W7--W8,6,w07_2012m07_m12,w08_2012m08_2013m01,5,5,376890,364814,12076,596,5199,500,1130,-184,-1130,-1314,319247,317933,-1477,-1305,172,4,0,1,-0.0036018354558761,-0.0039189153333863,-0.0034625487542784,0.0004563665791079
woe_scorecard_platform_platt,Platform-signal WOE scorecard,00:w01_2012m01_m06->w02_2012m02_m07,W1--W2,0,w01_2012m01_m06,w02_2012m02_m07,5,5,376890,364814,12076,21,2724,19,437,-19,437,418,324903,325321,417,499,82,1,1,3,0.0011457893611539,0.0011064236249303,0.001323993738226,0.0002175701132956
woe_scorecard_platform_platt,Platform-signal WOE scorecard,01:w02_2012m02_m07->w03_2012m03_m08,W2--W3,1,w02_2012m02_m07,w03_2012m03_m08,5,5,376890,364814,12076,229,5198,203,751,1,-751,-750,325321,324571,-912,-749,163,3,0,2,-0.0020558421551804,-0.002419804186898,-0.0019873172543713,0.0004324869325267
woe_scorecard_platform_platt,Platform-signal WOE scorecard,02:w03_2012m03_m08->w04_2012m04_m09,W3--W4,2,w03_2012m03_m08,w04_2012m04_m09,5,5,376890,364814,12076,392,2982,350,503,-350,-503,-853,324571,323718,-959,-853,106,4,1,0,-0.0023381778111585,-0.0025445090079333,-0.0022632598370877,0.0002812491708456
woe_scorecard_platform_platt,Platform-signal WOE scorecard,03:w04_2012m04_m09->w05_2012m05_m10,W4--W5,3,w04_2012m04_m09,w05_2012m05_m10,5,5,376890,364814,12076,280,9053,239,1458,239,-1458,-1219,323718,322499,-1495,-1210,285,3,0,2,-0.0033414287828866,-0.0039666746265488,-0.0032104858181432,0.0007561888084056
woe_scorecard_platform_platt,Platform-signal WOE scorecard,04:w05_2012m05_m10->w06_2012m06_m11,W5--W6,4,w05_2012m05_m10,w06_2012m06_m11,5,5,376890,364814,12076,84,2699,72,563,72,-563,-491,322499,322008,-578,-488,90,3,1,1,-0.0013458913309248,-0.0015336039693279,-0.0012948075035156,0.0002387964658123
woe_scorecard_platform_platt,Platform-signal WOE scorecard,05:w06_2012m06_m11->w07_2012m07_m12,W6--W7,5,w06_2012m06_m11,w07_2012m07_m12,5,5,376890,364814,12076,914,7378,765,1397,-527,-1397,-1924,322008,320084,-2181,-1938,243,4,0,1,-0.0052739204087562,-0.0057868343548515,-0.0051420838971583,0.0006447504576932
woe_scorecard_platform_platt,Platform-signal WOE scorecard,06:w07_2012m07_m12->w08_2012m08_2013m01,W7--W8,6,w07_2012m07_m12,w08_2012m08_2013m01,5,5,376890,364814,12076,726,8009,616,1568,-476,-1568,-2044,320084,318040,-2297,-2043,254,4,0,1,-0.0056028551535851,-0.0060946164663429,-0.0054206797739393,0.0006739366924036
woe_scorecard_borrower_platt,Pricing-excluded application WOE scorecard,00:w01_2012m01_m06->w02_2012m02_m07,W1--W2,0,w01_2012m01_m06,w02_2012m02_m07,5,5,376890,364814,12076,269,3885,225,597,167,375,542,325790,326332,528,650,122,2,0,3,0.001485688597477,0.0014009392660988,0.0017246411419777,0.0003237018758789
woe_scorecard_borrower_platt,Pricing-excluded application WOE scorecard,01:w02_2012m02_m07->w03_2012m03_m08,W2--W3,1,w02_2012m02_m07,w03_2012m03_m08,5,5,376890,364814,12076,497,2234,429,350,-429,-128,-557,326332,325775,-620,-543,77,4,0,1,-0.0015268054405806,-0.0016450423200403,-0.0014407386770675,0.0002043036429727
woe_scorecard_borrower_platt,Pricing-excluded application WOE scorecard,02:w03_2012m03_m08->w04_2012m04_m09,W3--W4,2,w03_2012m03_m08,w04_2012m04_m09,5,5,376890,364814,12076,730,3290,622,472,-622,-344,-966,325775,324809,-1089,-955,134,4,0,1,-0.0026479246958724,-0.0028894372363289,-0.002533895831675,0.0003555414046538
woe_scorecard_borrower_platt,Pricing-excluded application WOE scorecard,03:w04_2012m04_m09->w05_2012m05_m10,W4--W5,3,w04_2012m04_m09,w05_2012m05_m10,5,5,376890,364814,12076,296,4214,262,699,-262,-699,-961,324809,323848,-1109,-961,148,5,0,0,-0.0026342190815045,-0.0029425031176205,-0.0025498155960625,0.000392687521558
woe_scorecard_borrower_platt,Pricing-excluded application WOE scorecard,04:w05_2012m05_m10->w06_2012m06_m11,W5--W6,4,w05_2012m05_m10,w06_2012m06_m11,5,5,376890,364814,12076,776,5475,676,1007,676,-903,-227,323848,323621,-374,-193,181,2,0,3,-0.0006222348923012,-0.0009923319801533,-0.0005120857544641,0.0004802462256891
woe_scorecard_borrower_platt,Pricing-excluded application WOE scorecard,05:w06_2012m06_m11->w07_2012m07_m12,W6--W7,5,w06_2012m06_m11,w07_2012m07_m12,5,5,376890,364814,12076,171,11635,156,2002,-10,-2002,-2012,323621,321609,-2375,-2012,363,4,0,1,-0.0055151392216307,-0.0063015734033802,-0.0053384276579373,0.0009631457454429
woe_scorecard_borrower_platt,Pricing-excluded application WOE scorecard,06:w07_2012m07_m12->w08_2012m08_2013m01,W7--W8,6,w07_2012m07_m12,w08_2012m08_2013m01,5,5,376890,364814,12076,280,13613,243,2395,-171,-2395,-2566,321609,319043,-3006,-2565,441,4,0,1,-0.0070337212935907,-0.007975801958131,-0.0068056992756507,0.0011701026824802
