dataset,period,n,defaults,default_rate,auc_roc,pr_auc,coverage_90,coverage_alpha01,economic_candidates
Prosper,2012,8010,2577,0.3217228464419475,0.6988646610585748,0.4888868352024403,0.9116104868913858,0.9933832709113608,8010
Prosper,2013,2521,316,0.1253470844902816,0.687683343379546,0.221384282793829,0.9484331614438716,0.9972233240777468,2521
Freddie FM48,2015Q1,346682,3906,0.0112668093526632,0.7962807462700461,0.0507110650457581,0.9785480642202364,0.991992661863033,346682
Freddie FM48,2015Q2,389075,4804,0.0123472338238128,0.7823109517507605,0.0491288479707842,0.9774413673456276,0.9910043050825676,389075
Freddie FM48,2015Q3,345167,4975,0.0144133129760376,0.7736149116384292,0.0506352703987166,0.9707793618741072,0.990080164094482,345167
Freddie FM48,2015Q4,315129,4867,0.0154444687731056,0.7791377151096768,0.0573174166539526,0.9705929952495644,0.9896328170368326,315129
