origin,window_index,learner,window_id,candidate_rows,resolved_rows,unresolved_rows,coverage_resolved,coverage_lower,coverage_upper,fit_prevalence,fit_residual_quantile,set_empty_share,set_both_share
2016,1,catboost_platt,w01_2012m01_m06,74537,74537,0,0.8723452781839892,0.8723452781839892,0.8723452781839892,0.13674070109713674,0.8219519891493827,0.013550317292083126,0.17724083341159425
2016,2,catboost_platt,w02_2012m02_m07,74537,74537,0,0.8746260246588943,0.8746260246588943,0.8746260246588943,0.14081804006237256,0.82766418729986,0.013308826488857882,0.1859210861719683
2016,3,catboost_platt,w03_2012m03_m08,74537,74537,0,0.872814843634705,0.872814843634705,0.872814843634705,0.14116226573573415,0.8266480025829714,0.015227336758925097,0.1859210861719683
2016,4,catboost_platt,w04_2012m04_m09,74537,74537,0,0.8701584447992272,0.8701584447992272,0.8701584447992272,0.14126889327881656,0.8255389571463173,0.01664944926680709,0.17670418718220482
2016,5,catboost_platt,w05_2012m05_m10,74537,74537,0,0.8674886298080148,0.8674886298080148,0.8674886298080148,0.13976102183765965,0.8238022572208143,0.017320257053543876,0.167098219676134
2016,6,catboost_platt,w06_2012m06_m11,74537,74537,0,0.8673142197834632,0.8673142197834632,0.8673142197834632,0.1380925613640622,0.8228775147793896,0.016662865422541823,0.1624830621033849
2016,7,catboost_platt,w07_2012m07_m12,74537,74537,0,0.8644565786119646,0.8644565786119646,0.8644565786119646,0.13248389708211608,0.8164243127235671,0.017266592430604934,0.1517233052041268
2016,8,catboost_platt,w08_2012m08_2013m01,74537,74537,0,0.8608610488750553,0.8608610488750553,0.8608610488750553,0.12761790965514952,0.8091359890849514,0.017159263184727047,0.13567758294538282
2016,1,numeric_logistic_platt,w01_2012m01_m06,74537,74537,0,0.8886190750902236,0.8886190750902236,0.8886190750902236,0.13674070109713674,0.8132704993326145,0.0077679541704120105,0.22807464749050807
2016,2,numeric_logistic_platt,w02_2012m02_m07,74537,74537,0,0.8878006895904048,0.8878006895904048,0.8878006895904048,0.14081804006237256,0.813209200317482,0.008291184244066704,0.2275245851053839
2016,3,numeric_logistic_platt,w03_2012m03_m08,74537,74537,0,0.8874250372298321,0.8874250372298321,0.8874250372298321,0.14116226573573415,0.8106670055920027,0.008961992030803494,0.22863812603136696
2016,4,numeric_logistic_platt,w04_2012m04_m09,74537,74537,0,0.8835611843782283,0.8835611843782283,0.8835611843782283,0.14126889327881656,0.8077035644116417,0.010867086145135972,0.2149536471819365
2016,5,numeric_logistic_platt,w05_2012m05_m10,74537,74537,0,0.8812804379033232,0.8812804379033232,0.8812804379033232,0.13976102183765965,0.8061316208044618,0.010156029891194978,0.19688208540724741
2016,6,numeric_logistic_platt,w06_2012m06_m11,74537,74537,0,0.8784764613547634,0.8784764613547634,0.8784764613547634,0.1380925613640622,0.8027175079686439,0.00951205441592766,0.17804580275567838
2016,7,numeric_logistic_platt,w07_2012m07_m12,74537,74537,0,0.8727880113232355,0.8727880113232355,0.8727880113232355,0.13248389708211608,0.7953701100393342,0.01118907388276963,0.1580557307109221
2016,8,numeric_logistic_platt,w08_2012m08_2013m01,74537,74537,0,0.8686290030454673,0.8686290030454673,0.8686290030454673,0.12761790965514952,0.7860933691064516,0.012758764103733717,0.14517622120557575
2017,1,catboost_platt,w01_2013m01_m06,77105,66217,10888,0.8558980322273736,0.7350366383503015,0.8762466766098178,0.12659398423050716,0.7846155801140023,0.018027365281110173,0.13703391479151805
2017,2,catboost_platt,w02_2013m02_m07,77105,66217,10888,0.8553845689173475,0.734595681213929,0.8758057194734453,0.1263980595607061,0.7847165922985103,0.017949549315867973,0.13370079761364373
2017,3,catboost_platt,w03_2013m03_m08,77105,66217,10888,0.8534364287116601,0.7329226379612217,0.874132676220738,0.12486632697993331,0.7817068480534448,0.018909279553855133,0.12890214642370793
2017,4,catboost_platt,w04_2013m04_m09,77105,66217,10888,0.8540556050561035,0.7334543803903768,0.874664418649893,0.12398055362635182,0.7811190015944063,0.01801439595356981,0.12833149601193178
2017,5,catboost_platt,w05_2013m05_m10,77105,66217,10888,0.8542519292628781,0.7336229816484016,0.8748330199079177,0.12274429369813522,0.7792240003229133,0.01783282536800467,0.12820180273652812
2017,6,catboost_platt,w06_2013m06_m11,77105,66217,10888,0.8549768186417386,0.7342455093703392,0.8754555476298554,0.12067341025048443,0.7783933439730577,0.017755009402762468,0.1311588094157318
