learner,learner_label,window,window_id,taxonomy_groups,score_stratum,conformal_group,role,fit_rows,finite_sample_rank,beta_a,beta_b,fit_residual_quantile,fit_score_min,fit_score_max,fit_residual_below_threshold,fit_residual_equal_threshold,fit_residual_above_threshold,continuous_threshold_tie_singleton,candidate_rows,score_min,score_max,resolved_rows,unresolved_rows,resolved_misses,coverage_resolved,resolved_target_residual_equal_threshold,unresolved_equal_threshold_if_y0,unresolved_equal_threshold_if_y1,unresolved_min_equal_threshold,unresolved_max_equal_threshold,unresolved_min_misses,unresolved_max_misses,misses_min,misses_max,miss_rate_min,miss_rate_max,coverage_lower,coverage_upper,null_expected_miss_rate,null_expected_misses,joint_block_reference_exact_log_p_value,joint_block_reference_exact_p_value,joint_block_reference_exact_neg_log10_p_value,source_within_cell_bonferroni_log_p_value,source_within_cell_bonferroni_p_value,meets_locked_nominal_within_cell_threshold,candidate_rows_active_reference,resolved_rows_active_reference,unresolved_rows_active_reference,fit_rows_active_reference,coverage_resolved_active_reference,coverage_lower_active_reference,coverage_upper_active_reference,score_min_active_reference,score_max_active_reference,fit_residual_quantile_active_reference,fit_score_min_active_reference,fit_score_max_active_reference,coverage_resolved_active_difference,coverage_lower_active_difference,coverage_upper_active_difference,score_min_active_difference,score_max_active_difference,fit_residual_quantile_active_difference,fit_score_min_active_difference,fit_score_max_active_difference
catboost_platt,CatBoost,W1,w01_2012m01_m06,5,1,0,primary_oot,1829,1647,183,1647,0.049113187946657616,0.009701465766812493,0.05025870117266396,1646,1,182,True,60520,0.005424291130823528,0.05026398374733186,58445,2075,6353,0.8912995123620497,0,0,0,0,0,107,2075,6460,8428,0.10674157303370786,0.13925974884335757,0.8607402511566424,0.8932584269662921,0.1,6052.0,-1.7637231807278422,0.17140550067259505,0.7659752449949535,-0.1542852682937419,0.8570275033629752,False,60520,58445,2075,1829,0.8912995123620497,0.8607402511566424,0.8932584269662921,0.005424291130823528,0.05026398374733186,0.049113187946657616,0.009701465766812493,0.05025870117266396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
catboost_platt,CatBoost,W1,w01_2012m01_m06,5,2,1,primary_oot,2437,2195,243,2195,0.07964589698302632,0.05029026008180106,0.08036503136586999,2194,1,242,True,79865,0.05026561675017613,0.080368886853859,77165,2700,9770,0.8733881941294628,0,0,0,0,0,68,2700,9838,12470,0.12318287109497277,0.15613848369122896,0.843861516308771,0.8768171289050273,0.09967186218211649,7960.293273174733,-8.758270560725816,0.00015715616574324827,3.8036685755389206,-7.148832648291715,0.0007857808287162415,True,79865,77165,2700,2437,0.8733881941294628,0.843861516308771,0.8768171289050273,0.05026561675017613,0.080368886853859,0.07964589698302632,0.05029026008180106,0.08036503136586999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
catboost_platt,CatBoost,W1,w01_2012m01_m06,5,3,2,primary_oot,3249,2925,325,2925,0.8919735883395368,0.08037134402127445,0.11187745514731459,2924,1,324,True,79047,0.08036959879849867,0.11189296397180755,76495,2552,9834,0.871442577946271,0,0,0,0,0,0,2253,9834,12087,0.1244069983680595,0.15290902880564727,0.8470909711943527,0.8755930016319405,0.1,7904.700000000001,-11.570942433257727,9.436339354490407e-06,5.025196449184016,-9.961504520823627,4.7181696772452e-05,True,79047,76495,2552,3249,0.871442577946271,0.8470909711943527,0.8755930016319405,0.08036959879849867,0.11189296397180755,0.8919735883395368,0.08037134402127445,0.11187745514731459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
catboost_platt,CatBoost,W1,w01_2012m01_m06,5,4,3,primary_oot,3603,3244,360,3244,0.8617614186932525,0.1118957731833843,0.15326107739536926,3243,1,359,True,80235,0.11189496292649623,0.15326092137265918,77819,2416,9900,0.8727817114072398,0,0,0,0,0,0,1638,9900,11538,0.12338754907459339,0.14380257992148066,0.8561974200785194,0.8766124509254066,0.09988901220865705,8014.594894561598,-11.85141708596283,7.12844752295318e-06,5.147005043167573,-10.24197917352873,3.564223761476587e-05,True,80235,77819,2416,3603,0.8727817114072398,0.8561974200785194,0.8766124509254066,0.11189496292649623,0.15326092137265918,0.8617614186932525,0.1118957731833843,0.15326107739536926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
catboost_platt,CatBoost,W1,w01_2012m01_m06,5,5,4,primary_oot,3830,3448,383,3448,0.8095744723631617,0.1532638278468384,0.5281745670852075,3447,1,382,True,77223,0.1532636176115942,0.5544847575803251,74890,2333,8998,0.87985044732274,0,0,0,0,0,0,1236,8998,10234,0.11651968972974373,0.1325252839180037,0.8674747160819963,0.8834803102702563,0.09997389715478987,7720.284259984338,-7.282500714247039,0.0006874642606753269,3.162749874653979,-5.6730628018129385,0.0034373213033766347,True,77223,74890,2333,3830,0.87985044732274,0.8674747160819963,0.8834803102702563,0.1532636176115942,0.5544847575803251,0.8095744723631617,0.1532638278468384,0.5281745670852075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
catboost_platt,CatBoost,W2,w02_2012m02_m07,5,1,0,primary_oot,1943,1750,194,1750,0.04900395264617657,0.009701465766812493,0.05025870117266396,1749,1,193,True,60520,0.005424291130823528,0.05026398374733186,58445,2075,6617,0.8867824450337924,0,0,0,0,0,116,2075,6733,8692,0.11125247851949768,0.1436219431592862,0.8563780568407138,0.8887475214805023,0.09979423868312758,6039.547325102881,-2.9565924481120804,0.0519957940091175,1.2840317854519028,-1.3471545356779802,0.2599789700455875,False,60520,58445,2075,1943,0.8867824450337924,0.8563780568407138,0.8887475214805023,0.005424291130823528,0.05026398374733186,0.04900395264617657,0.009701465766812493,0.05025870117266396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
catboost_platt,CatBoost,W2,w02_2012m02_m07,5,2,1,primary_oot,2647,2384,264,2384,0.07978766496058752,0.05029026008180106,0.080358953595577,2383,1,263,True,79865,0.05026561675017613,0.080368886853859,77165,2700,9472,0.8772500485971619,0,0,0,0,0,50,2700,9522,12172,0.11922619420271709,0.15240718712827897,0.8475928128717211,0.8807738057972829,0.09969788519637462,7962.37160120846,-7.099933619636294,0.0008251596958486979,3.0834619928874236,-5.490495707202194,0.00412579847924349,True,79865,77165,2700,2647,0.8772500485971619,0.8475928128717211,0.8807738057972829,0.05026561675017613,0.080368886853859,0.07978766496058752,0.05029026008180106,0.080358953595577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
catboost_platt,CatBoost,W2,w02_2012m02_m07,5,3,2,primary_oot,3621,3260,362,3260,0.8920116585417792,0.08037134402127445,0.11188898033944253,3259,1,361,True,79047,0.08036959879849867,0.11189296397180755,76495,2552,9817,0.8716648146937709,0,0,0,0,0,0,2251,9817,12068,0.12419193644287575,0.15266866547750071,0.8473313345224993,0.8758080635571243,0.09994478188845941,7900.335173937051,-12.489354269271388,3.7665380433836563e-06,5.424057641679383,-10.879916356837288,1.883269021691827e-05,True,79047,76495,2552,3621,0.8716648146937709,0.8473313345224993,0.8758080635571243,0.08036959879849867,0.11189296397180755,0.8920116585417792,0.08037134402127445,0.11188898033944253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
catboost_platt,CatBoost,W2,w02_2012m02_m07,5,4,3,primary_oot,4098,3690,409,3690,0.862876020574146,0.1118957731833843,0.15326107739536926,3689,1,408,True,80235,0.11189496292649623,0.15326092137265918,77819,2416,9487,0.8780888985980287,0,0,0,0,0,0,1571,9487,11058,0.11824016950208761,0.1378201532996822,0.8621798467003178,0.8817598304979124,0.09978043425225665,8005.883142229812,-9.029668186780338,0.00011980223854412405,3.921535066936042,-7.420230274346237,0.0005990111927206203,True,80235,77819,2416,4098,0.8780888985980287,0.8621798467003178,0.8817598304979124,0.11189496292649623,0.15326092137265918,0.862876020574146,0.1118957731833843,0.15326107739536926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
catboost_platt,CatBoost,W2,w02_2012m02_m07,5,5,4,primary_oot,4365,3930,436,3930,0.8111630187017316,0.1532638278468384,0.4831174891615209,3929,1,435,True,77223,0.1532636176115942,0.5544847575803251,74890,2333,8689,0.883976498865002,0,0,0,0,0,0,1207,8689,9896,0.11251829118267874,0.1281483495849682,0.8718516504150318,0.8874817088173212,0.09986257443884562,7711.687585890975,-5.465518326889604,0.00423014787930013,2.373644450109248,-3.856080414455503,0.021150739396500653,True,77223,74890,2333,4365,0.883976498865002,0.8718516504150318,0.8874817088173212,0.1532636176115942,0.5544847575803251,0.8111630187017316,0.1532638278468384,0.4831174891615209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
