group,n,coverage_90,avg_width_90,median_width_90,coverage_95,avg_width_95,median_width_95,coverage_before,coverage_after,multiplier,adjusted,cov90_gap_to_0p90,cov95_gap_to_0p95,grade_gate,parent_action
A,72388,0.9094601315135106,0.23040531343709056,0.21159875239017956,0.945833563574073,0.7417439856402007,0.7347888140114475,0.9043393466601658,0.9116528522671867,1.2,True,0.00946013151351055,-0.004166436425926956,watch,retain_as_supporting_evidence
B,75311,0.9343654977360545,0.90836938568326,0.9886194314716429,0.9549999336086362,0.9445130278732093,1.0,0.9095217883418223,0.9233870967741935,1.05,True,0.03436549773605446,0.0049999336086362645,pass,retain_as_supporting_evidence
C,70568,0.9254903072214035,0.9422662507822753,1.0,0.9467464006348486,0.9629989925826444,1.0,0.9222002374356945,0.9222002374356945,1.0,False,0.02549030722140344,-0.0032535993651513495,watch,retain_as_supporting_evidence
D,45637,0.9280846681420777,0.9576071026976826,1.0,0.9497556806976795,0.9682007279133129,1.0,0.932987012987013,0.932987012987013,1.0,False,0.028084668142077662,-0.0002443193023204948,watch,retain_as_supporting_evidence
E,10828,0.8883450314000739,0.9461195935514686,1.0,0.9019209456963428,0.9530176817040606,1.0,0.93,0.93,1.0,False,-0.011654968599926097,-0.04807905430365711,watch,targeted_followup
F,1731,0.9399191218948585,0.9737148719870481,1.0,0.9399191218948585,0.9737148719870481,1.0,0.9487666034155597,0.9487666034155597,1.0,False,0.03991912189485847,-0.010080878105141466,watch,targeted_followup
G,406,0.9113300492610837,0.9697590588932684,1.0,0.9236453201970444,0.9741057219794047,1.0,0.9207317073170732,0.9207317073170732,1.0,False,0.011330049261083719,-0.026354679802955583,watch,targeted_followup
