label,run,selection_reason,return,return_delta_vs_champion,alpha01_pass,V,V_delta_vs_champion,Gamma,Gamma_delta_vs_champion,violation,funded_coverage,policy_mode,risk,gamma,qcap,qtail,ua,bucket,candidate_rank
canonical_4_return_aware,paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k__return_aware_alpha01_2026_05_25_r5,selected_best_alpha01_exact_pass,170611.34163424745,146.79870578474947,True,0.058675,0.022224999999999995,0.270366,0.084456,0.0,0.959,capped_blended_uncertainty,0.19,0.325,0.75,1.0,0.15,return_global,1
affordability_rate_5_return_aware,paper1_bound_expansion_2026_05_24_r1__affordability_rate_5__medium_triage_resume_75k__return_aware_alpha01_2026_05_25_r5,selected_best_alpha01_exact_pass,166361.201522614,-4103.341405848711,True,0.0831,0.04664999999999999,0.340404,0.154494,0.0,0.928,segment_relative_tail_blended_uncertainty,0.16,0.325,1.0,0.95,0.25,return_global,30
canonical_4_original_medium,paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k,selected_best_alpha01_exact_pass,160346.21021790063,-10118.33271056207,True,0.031125,-0.005325000000000003,0.233621,0.047711,0.0,0.97,blended_uncertainty,0.18,0.375,1.0,1.0,0.1,forced_incumbent_neighbors,118
affordability_rate_5_original_medium,paper1_bound_expansion_2026_05_24_r1__affordability_rate_5__medium_triage_resume_75k,selected_best_alpha01_exact_pass,146569.73552904688,-23894.80739941582,True,0.038528,0.0020779999999999965,0.251736,0.06582600000000002,0.0,0.9651,blended_uncertainty,0.19,0.375,1.0,1.0,0.1,forced_incumbent_neighbors,188
