candidate_family,run_label,tier,decision_read,candidate_rank,shortlist_bucket,policy_mode,risk_tolerance,gamma,delta_cap_quantile,tail_focus_quantile,uncertainty_aversion,realized_total_return,return_delta_vs_champion,alpha01_exact_pass,alpha01_weighted_miscoverage_V,alpha01_gamma_cp,alpha01_violation,alpha01_empirical_coverage_funded,n_funded
affordability_rate_5_return_aware,paper1_bound_expansion_2026_05_24_r1__affordability_rate_5__medium_triage_resume_75k__return_aware_alpha01_2026_05_25_r5,best_return_exact_pass,append_or_park_no_champion_case,32,return_global,segment_relative_tail_blended_uncertainty,0.165,0.375,1.0,0.95,0.25,166208.00531537604,-4256.537613086664,True,0.08614,0.342942,0.0,0.919,248.0
affordability_rate_5_return_aware,paper1_bound_expansion_2026_05_24_r1__affordability_rate_5__medium_triage_resume_75k__return_aware_alpha01_2026_05_25_r5,best_return_exact_pass,append_or_park_no_champion_case,34,return_global,segment_relative_tail_blended_uncertainty,0.18,0.325,1.0,0.9,0.25,166087.2873129657,-4377.255615497008,True,0.06479,0.337588,0.0,0.938,240.0
affordability_rate_5_return_aware,paper1_bound_expansion_2026_05_24_r1__affordability_rate_5__medium_triage_resume_75k__return_aware_alpha01_2026_05_25_r5,best_V_exact_pass,append_or_park_no_champion_case,100,return_global,segment_relative_tail_blended_uncertainty,0.17,0.325,1.0,0.9,0.25,161931.01624283788,-8533.52668562482,True,0.056109,0.31568,0.0,0.9417,238.0
affordability_rate_5_return_aware,paper1_bound_expansion_2026_05_24_r1__affordability_rate_5__medium_triage_resume_75k__return_aware_alpha01_2026_05_25_r5,best_V_exact_pass,append_or_park_no_champion_case,213,forced_incumbent_neighbors,blended_uncertainty,0.165,0.375,1.0,1.0,0.1,131951.73566406107,-38512.807264401636,True,0.057775,0.210692,0.0,0.9634,250.0
affordability_rate_5_return_aware,paper1_bound_expansion_2026_05_24_r1__affordability_rate_5__medium_triage_resume_75k__return_aware_alpha01_2026_05_25_r5,best_V_exact_pass,append_or_park_no_champion_case,214,forced_incumbent_neighbors,capped_blended_uncertainty,0.165,0.375,1.0,1.0,0.1,131951.73566406107,-38512.807264401636,True,0.057775,0.210692,0.0,0.9634,250.0
affordability_rate_5_return_aware,paper1_bound_expansion_2026_05_24_r1__affordability_rate_5__medium_triage_resume_75k__return_aware_alpha01_2026_05_25_r5,best_return_with_Gamma_leq_champion,Gamma_challenger_only_V_return_worse,238,forced_incumbent_neighbors,blended_uncertainty,0.17,0.5,1.0,1.0,0.1,125243.30910481798,-45221.233823644725,True,0.060775,0.180306,0.0,0.9602,243.0
affordability_rate_5_return_aware,paper1_bound_expansion_2026_05_24_r1__affordability_rate_5__medium_triage_resume_75k__return_aware_alpha01_2026_05_25_r5,best_return_with_Gamma_leq_champion,Gamma_challenger_only_V_return_worse,239,forced_incumbent_neighbors,capped_blended_uncertainty,0.17,0.5,1.0,1.0,0.1,125243.30910481798,-45221.233823644725,True,0.060775,0.180306,0.0,0.9602,243.0
affordability_rate_5_return_aware,paper1_bound_expansion_2026_05_24_r1__affordability_rate_5__medium_triage_resume_75k__return_aware_alpha01_2026_05_25_r5,best_return_with_Gamma_leq_champion,Gamma_challenger_only_V_return_worse,205,forced_incumbent_neighbors,blended_uncertainty,0.165,0.475,1.0,1.0,0.1,124514.20710513435,-45950.33582332835,True,0.060775,0.180035,0.0,0.9598,244.0
affordability_rate_5_return_aware,paper1_bound_expansion_2026_05_24_r1__affordability_rate_5__medium_triage_resume_75k__return_aware_alpha01_2026_05_25_r5,best_Gamma_exact_pass,Gamma_challenger_only_V_return_worse,116,conservative_proxy,capped_blended_uncertainty,0.16,0.6,0.75,1.0,0.25,114470.3948542467,-55994.148074216006,True,0.065075,0.145439,0.0,0.9606,252.0
affordability_rate_5_return_aware,paper1_bound_expansion_2026_05_24_r1__affordability_rate_5__medium_triage_resume_75k__return_aware_alpha01_2026_05_25_r5,best_Gamma_exact_pass,Gamma_challenger_only_V_return_worse,104,conservative_proxy,capped_blended_uncertainty,0.16,0.6,0.9,1.0,0.25,114160.31987412396,-56304.22305433874,True,0.065075,0.145439,0.0,0.9606,252.0
affordability_rate_5_return_aware,paper1_bound_expansion_2026_05_24_r1__affordability_rate_5__medium_triage_resume_75k__return_aware_alpha01_2026_05_25_r5,best_Gamma_exact_pass,Gamma_challenger_only_V_return_worse,103,conservative_proxy,capped_blended_uncertainty,0.16,0.6,0.95,1.0,0.25,114136.28072668929,-56328.26220177341,True,0.065075,0.145439,0.0,0.9606,252.0
affordability_rate_5_segment_probe,paper1_bound_expansion_2026_05_24_r1__affordability_rate_5__segment_probe_25k,best_return_exact_pass,append_or_park_no_champion_case,102,conservative_proxy,segment_relative_tail_blended_uncertainty,0.16,0.2,1.0,0.75,0.0,142285.958913793,-28178.5840146697,True,0.099125,0.315162,0.0,0.9014,205.0
affordability_rate_5_segment_probe,paper1_bound_expansion_2026_05_24_r1__affordability_rate_5__segment_probe_25k,best_return_exact_pass,append_or_park_no_champion_case,78,incumbent_region,segment_relative_tail_blended_uncertainty,0.18,0.5,1.0,0.75,0.1,141035.29040580042,-29429.252522662282,True,0.094275,0.303643,0.0,0.9086,182.0
affordability_rate_5_segment_probe,paper1_bound_expansion_2026_05_24_r1__affordability_rate_5__segment_probe_25k,best_return_exact_pass,append_or_park_no_champion_case,77,incumbent_region,segment_tail_blended_uncertainty,0.18,0.5,1.0,0.75,0.1,140794.0726014238,-29670.4703270389,True,0.058075,0.376037,0.0,0.9189,180.0
affordability_rate_5_segment_probe,paper1_bound_expansion_2026_05_24_r1__affordability_rate_5__segment_probe_25k,best_V_exact_pass,append_or_park_no_champion_case,10,incumbent_region,segment_tail_blended_uncertainty,0.165,0.5,1.0,0.75,0.05,130910.71940319923,-39553.82352526348,True,0.053075,0.378561,0.0,0.9279,184.0
affordability_rate_5_segment_probe,paper1_bound_expansion_2026_05_24_r1__affordability_rate_5__segment_probe_25k,best_V_exact_pass,append_or_park_no_champion_case,106,conservative_proxy,segment_tail_blended_uncertainty,0.16,0.5,1.0,0.75,0.05,129909.14187443744,-40555.401054025264,True,0.053075,0.369598,0.0,0.9286,185.0
affordability_rate_5_segment_probe,paper1_bound_expansion_2026_05_24_r1__affordability_rate_5__segment_probe_25k,best_Gamma_exact_pass,append_or_park_no_champion_case,2,incumbent_region,segment_relative_tail_blended_uncertainty,0.165,0.5,1.0,0.75,0.2,128383.14671652296,-42081.39621193975,True,0.078575,0.268697,0.0,0.9246,190.0
affordability_rate_5_segment_probe,paper1_bound_expansion_2026_05_24_r1__affordability_rate_5__segment_probe_25k,best_Gamma_exact_pass,append_or_park_no_champion_case,85,conservative_proxy,segment_relative_tail_blended_uncertainty,0.16,0.5,1.0,0.75,0.1,128042.57760311202,-42421.965325350684,True,0.079261,0.269515,0.0,0.9231,186.0
affordability_rate_5_segment_probe,paper1_bound_expansion_2026_05_24_r1__affordability_rate_5__segment_probe_25k,best_V_exact_pass,append_or_park_no_champion_case,36,incumbent_region,segment_tail_blended_uncertainty,0.17,0.5,1.0,0.75,0.05,126239.02096529321,-44225.52196316949,True,0.053075,0.385396,0.0,0.9279,182.0
affordability_rate_5_segment_probe,paper1_bound_expansion_2026_05_24_r1__affordability_rate_5__segment_probe_25k,best_Gamma_exact_pass,append_or_park_no_champion_case,82,conservative_proxy,segment_relative_tail_blended_uncertainty,0.16,0.5,1.0,0.75,0.2,126126.8791351281,-44337.66379333461,True,0.078575,0.2623,0.0,0.9235,189.0
bureau_behavior_15_segment_probe,paper1_bound_expansion_2026_05_24_r1__bureau_behavior_15__segment_probe_25k,best_return_exact_pass,append_or_park_no_champion_case,74,incumbent_region,segment_relative_tail_blended_uncertainty,0.18,0.5,1.0,0.75,0.1,121607.06434274356,-48857.478585719145,True,0.095275,0.277982,0.0,0.9202,178.0
bureau_behavior_15_segment_probe,paper1_bound_expansion_2026_05_24_r1__bureau_behavior_15__segment_probe_25k,best_V_exact_pass;best_return_exact_pass,append_or_park_no_champion_case,5,incumbent_region,segment_relative_tail_blended_uncertainty,0.165,0.5,1.0,0.75,0.0,121605.80374969145,-48858.739178771255,True,0.082725,0.279439,0.0,0.9333,154.0
bureau_behavior_15_segment_probe,paper1_bound_expansion_2026_05_24_r1__bureau_behavior_15__segment_probe_25k,best_return_exact_pass,append_or_park_no_champion_case,77,incumbent_region,segment_relative_tail_blended_uncertainty,0.18,0.5,1.0,0.75,0.0,120989.12725236984,-49475.41567609286,True,0.08575,0.304108,0.0,0.9293,168.0
bureau_behavior_15_segment_probe,paper1_bound_expansion_2026_05_24_r1__bureau_behavior_15__segment_probe_25k,best_V_exact_pass,append_or_park_no_champion_case,94,conservative_proxy,segment_relative_tail_blended_uncertainty,0.16,0.5,1.0,0.75,0.0,117298.0892525555,-53166.45367590721,True,0.082725,0.271946,0.0,0.9322,158.0
bureau_behavior_15_segment_probe,paper1_bound_expansion_2026_05_24_r1__bureau_behavior_15__segment_probe_25k,best_V_exact_pass,append_or_park_no_champion_case,52,incumbent_region,segment_relative_tail_blended_uncertainty,0.175,0.5,1.0,0.75,0.05,116108.95945221599,-54355.58347624671,True,0.082725,0.285166,0.0,0.9344,173.0
bureau_behavior_15_segment_probe,paper1_bound_expansion_2026_05_24_r1__bureau_behavior_15__segment_probe_25k,best_Gamma_exact_pass,append_or_park_no_champion_case,85,conservative_proxy,segment_relative_tail_blended_uncertainty,0.16,0.5,1.0,0.75,0.1,112524.2039773839,-57940.3389510788,True,0.08305,0.24469,0.0,0.9282,170.0
bureau_behavior_15_segment_probe,paper1_bound_expansion_2026_05_24_r1__bureau_behavior_15__segment_probe_25k,best_Gamma_exact_pass,append_or_park_no_champion_case,49,incumbent_region,segment_relative_tail_blended_uncertainty,0.175,0.5,1.0,0.75,0.2,93455.31449074653,-77009.22843771617,True,0.08345,0.249851,0.0,0.9267,181.0
bureau_behavior_15_segment_probe,paper1_bound_expansion_2026_05_24_r1__bureau_behavior_15__segment_probe_25k,best_Gamma_exact_pass,append_or_park_no_champion_case,25,incumbent_region,segment_relative_tail_blended_uncertainty,0.17,0.5,1.0,0.75,0.2,89905.8873782091,-80558.6555502536,True,0.096885,0.241321,0.0,0.9162,179.0
canonical_4_original_medium,paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k,best_return_exact_pass;best_return_with_V_leq_champion,V_challenger_only_gamma_return_worse,118,forced_incumbent_neighbors,blended_uncertainty,0.18,0.375,1.0,1.0,0.1,160346.21021790063,-10118.33271056207,True,0.031125,0.233621,0.0,0.97,273.0
canonical_4_original_medium,paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k,best_return_exact_pass;best_return_with_V_leq_champion,V_challenger_only_gamma_return_worse,119,forced_incumbent_neighbors,capped_blended_uncertainty,0.18,0.375,1.0,1.0,0.1,160346.21021790063,-10118.33271056207,True,0.031125,0.233621,0.0,0.97,273.0
canonical_4_original_medium,paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k,best_return_exact_pass;best_return_with_V_leq_champion,V_challenger_only_gamma_return_worse,151,forced_incumbent_neighbors,blended_uncertainty,0.185,0.4,1.0,1.0,0.1,159963.87736327032,-10500.66556519238,True,0.031125,0.23025,0.0,0.9703,271.0
canonical_4_original_medium,paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k,best_V_exact_pass,V_challenger_only_gamma_return_worse,48,forced_incumbent_neighbors,blended_uncertainty,0.17,0.375,1.0,1.0,0.1,156085.00705628333,-14379.535872179375,True,0.024,0.216095,0.0,0.9701,272.0
canonical_4_original_medium,paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k,best_V_exact_pass,V_challenger_only_gamma_return_worse,81,forced_incumbent_neighbors,blended_uncertainty,0.175,0.4,1.0,1.0,0.1,155984.27198996386,-14480.270938498841,True,0.0237,0.215295,0.0,0.974,275.0
canonical_4_original_medium,paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k,best_V_exact_pass,V_challenger_only_gamma_return_worse,82,forced_incumbent_neighbors,capped_blended_uncertainty,0.175,0.4,1.0,1.0,0.1,155984.27198996386,-14480.270938498841,True,0.0237,0.215295,0.0,0.974,275.0
canonical_4_original_medium,paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k,best_return_with_Gamma_leq_champion,Gamma_challenger_only_V_return_worse,141,forced_incumbent_neighbors,blended_uncertainty,0.185,0.55,1.0,1.0,0.1,148716.28704654615,-21748.255881916557,True,0.047275,0.185044,0.0,0.9699,269.0
canonical_4_original_medium,paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k,best_return_with_Gamma_leq_champion,Gamma_challenger_only_V_return_worse,142,forced_incumbent_neighbors,capped_blended_uncertainty,0.185,0.55,1.0,1.0,0.1,148716.28704654615,-21748.255881916557,True,0.047275,0.185044,0.0,0.9699,269.0
canonical_4_original_medium,paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k,best_return_with_Gamma_leq_champion,Gamma_challenger_only_V_return_worse,73,forced_incumbent_neighbors,blended_uncertainty,0.175,0.5,1.0,1.0,0.1,148564.4946689952,-21900.048259467498,True,0.047275,0.184103,0.0,0.97,267.0
canonical_4_original_medium,paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k,best_Gamma_exact_pass,Gamma_challenger_only_V_return_worse,1,forced_incumbent_neighbors,blended_uncertainty,0.165,0.55,1.0,1.0,0.1,142501.65715908472,-27962.885769377986,True,0.047275,0.16054,0.0,0.9699,269.0
canonical_4_original_medium,paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k,best_Gamma_exact_pass,Gamma_challenger_only_V_return_worse,2,forced_incumbent_neighbors,capped_blended_uncertainty,0.165,0.55,1.0,1.0,0.1,142501.65715908472,-27962.885769377986,True,0.047275,0.16054,0.0,0.9699,269.0
canonical_4_original_medium,paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k,best_Gamma_exact_pass,bound_challenger_only_return_worse,225,incumbent_region,segment_tail_blended_uncertainty,0.165,0.55,1.0,0.75,0.5,126934.17894554739,-43530.36398291531,True,0.0272,0.160967,0.0,0.9705,263.0
canonical_4_return_aware,paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k__return_aware_alpha01_2026_05_25_r5,best_return_exact_pass,return_challenger_only_bound_worse,1,return_global,capped_blended_uncertainty,0.19,0.325,0.75,1.0,0.15,170611.34163424745,146.79870578474947,True,0.058675,0.270366,0.0,0.959,270.0
canonical_4_return_aware,paper1_bound_expansion_2026_05_24_r1__canonical_4__medium_triage_resume_75k__return_aware_alpha01_2026_05_25_r5,best_return_exact_pass,append_or_park_no_champion_case,2,return_global,capped_blended_uncertainty,0.19,0.325,0.9,1.0,0.15,167551.91376347217,-2912.6291649905324,True,0.058675,0.270366,0.0,0.959,274.0
