variant,rows_total,rows_test,default_rate,auc_roc,pr_auc,coverage_90,min_group_coverage_90,alpha01_coverage,coverage90_pass,alpha01_pass,available_oot_candidates,robust_objective_all_candidates,nonrobust_objective_all_candidates,price_of_robustness_pct
main_chargedoff_or_defaulted,54807,10543,0.3091758352035324,0.7074290432845566,0.44848172191261476,0.9205159821682634,0.8850308641975309,0.9943090202029783,True,True,10531,199419.0887756553,220259.86083869895,0.0946190194785686
defaulted_only,42862,8031,0.11665344594279314,0.6796193367985865,0.0855667183476656,0.9148300336197236,0.8671328671328671,0.9947702652222637,True,True,8019,272969.2286232216,282522.5257470741,0.0338142847144336
chargedoff_only,49807,10162,0.2398257273074066,0.7131638982556929,0.42343662495095546,0.9035622908876205,0.8355855855855856,0.9921275339500099,True,True,10150,205828.04819793423,227235.77315193572,0.0942093080550645
