segment,rows_total,rows_test,default_rate,auc_roc,pr_auc,coverage_90,min_group_coverage_90,alpha01_coverage,coverage90_pass,alpha01_pass,available_oot_candidates,robust_objective_all_candidates,nonrobust_objective_all_candidates,price_of_robustness_pct,all_lp_solved,max_funded_rank,funded_outside_top250k
both,3173355,1396053,0.014543598179214112,0.7838634726333499,0.05178220512695661,0.9745231735471361,0.5,0.9907116706887202,True,True,1396053,1291227.5801824057,1305409.0552784826,0.0108636254963404,True,551,0
red,1158306,597603,0.0297209890995989,0.700087721623812,0.05952354487123149,0.9705289297409819,0.891597510373444,0.9850218288730144,True,False,597603,1236591.1430666302,1266595.1411772007,0.0236887045711261,True,155,0
green,2015049,798450,0.005819213329303655,0.6997060916716304,0.013258970035509824,0.98100319368777,0.5,0.9950629344354687,True,True,798450,1287497.9769414272,1300554.7006127096,0.0100393498751964,True,745,0
