dataset_id,run_id,strategy,candidate_cap,seed,available_candidates,n_candidates,total_budget,max_portfolio_pd,nonrobust_objective,robust_objective,price_of_robustness_abs,price_of_robustness_pct,nonrobust_solver_status,robust_solver_status,robust_total_allocated,robust_n_funded,scenario_expected_loss,scenario_worst_case_loss,experiment
freddie_fm36_v2,random_cap5000_seed2026,random,5000,2026,1396053,5000,25000000.0,0.02,1153774.3281600133,1134306.807301479,19467.52085853438,0.0168729017307745,TerminationCondition.optimal,TerminationCondition.optimal,25000000.0,117,32039.38181828153,215564.99062068545,freddie_fm48_candidate_sensitivity
freddie_fm36_v2,random_cap5000_seed777,random,5000,777,1396053,5000,25000000.0,0.02,1147609.8299150486,1130622.7865380284,16987.043377020163,0.0148021068957536,TerminationCondition.optimal,TerminationCondition.optimal,25000000.0,124,29688.836011586005,189956.110515451,freddie_fm48_candidate_sensitivity
freddie_fm36_v2,random_cap10000_seed42,random,10000,42,1396053,10000,25000000.0,0.02,1179598.351821189,1163838.4351295484,15759.916691640625,0.01336040921667,TerminationCondition.optimal,TerminationCondition.optimal,25000000.0,107,25004.01650437762,178233.50016511057,freddie_fm48_candidate_sensitivity
freddie_fm36_v2,random_cap10000_seed2026,random,10000,2026,1396053,10000,25000000.0,0.02,1177725.181556371,1160204.5486363675,17520.632920003496,0.0148766734331432,TerminationCondition.optimal,TerminationCondition.optimal,25000000.0,122,24876.006482667228,188880.45529232625,freddie_fm48_candidate_sensitivity
freddie_fm36_v2,random_cap10000_seed777,random,10000,777,1396053,10000,25000000.0,0.02,1182163.9354725585,1165078.147595012,17085.787877546158,0.0144529767529376,TerminationCondition.optimal,TerminationCondition.optimal,25000000.0,115,27177.87215551701,192636.67465023417,freddie_fm48_candidate_sensitivity
freddie_fm36_v2,random_cap25000_seed42,random,25000,42,1396053,25000,25000000.0,0.02,1205300.5442875423,1189915.324215843,15385.220071699005,0.0127646338040884,TerminationCondition.optimal,TerminationCondition.optimal,25000000.0,112,27642.436947106475,175618.8253176002,freddie_fm48_candidate_sensitivity
freddie_fm36_v2,random_cap25000_seed2026,random,25000,2026,1396053,25000,25000000.0,0.02,1208080.69495844,1190718.9281311815,17361.766827258514,0.014371363518772,TerminationCondition.optimal,TerminationCondition.optimal,25000000.0,116,22148.48511536901,186671.8526498669,freddie_fm48_candidate_sensitivity
freddie_fm36_v2,random_cap25000_seed777,random,25000,777,1396053,25000,25000000.0,0.02,1216314.4942769462,1198143.740233957,18170.75404298911,0.0149391905863877,TerminationCondition.optimal,TerminationCondition.optimal,25000000.0,120,25592.49845325713,191373.6115811216,freddie_fm48_candidate_sensitivity
freddie_fm36_v2,top_net_return_cap50000_seed42,top_net_return,50000,42,1396053,50000,25000000.0,0.02,1305409.055278483,1291227.5801824068,14181.47509607626,0.0108636254963398,TerminationCondition.optimal,TerminationCondition.optimal,25000000.0,146,20879.088677396183,160874.9000793736,freddie_fm48_top_large_sensitivity
freddie_fm36_v2,top_net_return_cap100000_seed42,top_net_return,100000,42,1396053,100000,25000000.0,0.02,1305409.055278483,1291227.5801824068,14181.47509607626,0.0108636254963398,TerminationCondition.optimal,TerminationCondition.optimal,25000000.0,146,20879.088677396183,160874.9000793736,freddie_fm48_top_large_sensitivity
freddie_fm36_v2,top_net_return_cap250000_seed42,top_net_return,250000,42,1396053,250000,25000000.0,0.02,1305409.055278483,1291227.5801824068,14181.47509607626,0.0108636254963398,TerminationCondition.optimal,TerminationCondition.optimal,25000000.0,146,20879.088677396183,160874.9000793736,freddie_fm48_top_large_sensitivity
