run_label,variant,window_months,rows_total,default_rate,auc_roc,pr_auc,coverage_90,min_group_coverage_90,coverage_alpha01,coverage90_pass,alpha01_pass,robust_objective,price_of_robustness_abs,recommendation
freddie_fm12_both,both,12.0,2849457,0.0059523621518064,0.7681863221355728,0.0222124268822717,0.7578453348849258,0.0,0.9774174647316434,False,False,1287040.6418207984,9570.992353857262,sensitivity only
freddie_fm24_both,both,24.0,2420190,0.0103363785487916,0.7800044357516288,0.0422297603093363,0.9369215610110188,0.8736444790605715,0.9889295157422392,True,False,1118619.780863266,8985.721653965535,sensitivity only
freddie_fm36_both,both,36.0,3581402,0.0114142450358825,0.7890898429830087,0.0496332913708696,0.9056827296391612,0.8571428571428571,0.9871002504662412,True,False,1042378.4068574588,11429.115930069587,sensitivity only
freddie_fm36_green,green,36.0,2383971,0.0047483799089837,0.7143282449429617,0.0122747793777575,0.8874942306290841,0.8787338525538769,0.9873205421994056,False,False,1035323.9699910176,6277.701643785229,sensitivity only
freddie_fm36_red,red,36.0,1197431,0.0246853472141609,0.7047998404460994,0.0575720961155313,0.9082773067081432,0.8401844532279314,0.9853776779890624,True,False,990317.6758330629,23641.45389096951,sensitivity only
freddie_fm48_both,both,48.0,3173355,0.0145435981792141,0.7838634726333499,0.0517822051269566,0.974523173547136,0.5,0.9907116706887202,True,True,1060065.9648987832,17947.475405741716,selected main external mortgage replication
freddie_fm60_both,both,60.0,3579151,0.0218331107013925,0.7270254323985861,0.0728705047312328,0.959101839256819,0.5,0.9822399292863524,True,False,1033755.5253137936,22943.455865225056,sensitivity only
