dataset,candidate_cap,available_candidates,n_candidates,robust_objective,nonrobust_objective,price_of_robustness_abs,price_of_robustness_pct,robust_objective_boot_low,robust_objective_boot_high,nonrobust_objective_boot_low,nonrobust_objective_boot_high,robust_total_allocated,robust_n_funded,robust_max_funded_rank,robust_solver_success,nonrobust_solver_success
prosper,all,10531,10531,199419.0887756553,220259.86083869895,20840.772063043667,0.0946190194785686,186546.04708826495,213330.69865323557,205795.96550527308,236437.5902917046,1000000.0,234,508,True,True
freddie_fm48,500000,1396053,500000,1291227.5801824057,1305409.0552784826,14181.47509607696,0.0108636254963404,1062741.9024937386,1535012.3146356042,1072985.5163668434,1549941.0256744812,25000000.0,143,551,True,True
freddie_fm48,1000000,1396053,1000000,1291227.5801824057,1305409.0552784826,14181.47509607696,0.0108636254963404,1062741.9024937386,1535012.3146356042,1073319.0027516496,1546644.5177656687,25000000.0,143,551,True,True
freddie_fm48,all,1396053,1396053,1291227.5801824057,1305409.0552784826,14181.47509607696,0.0108636254963404,1062741.9024937386,1535012.3146356042,1072985.5163668434,1549941.0256744812,25000000.0,143,551,True,True
