dataset,paper_role,variant,rows_total,default_rate,auc_roc,pr_auc,brier,coverage_90,min_group_coverage_90,coverage_alpha01,coverage90_pass,alpha01_pass,available_oot_candidates,lp_candidate_cap,lp_n_candidates,robust_objective_best,nonrobust_objective,price_of_robustness_abs,price_of_robustness_pct,robust_n_funded,scenario_expected_loss,scenario_worst_case_loss
Prosper final-status loans,main external economic replication,Temporal OOT 2012-2013; full OOT economic universe,54807,0.3091758352035324,0.7074290432845566,0.4484817219126147,0.1781741704802637,0.9205159821682634,0.8850308641975309,0.9943090202029784,True,True,10531,all,10531,199419.08877567088,220259.8608387156,20840.77206304469,0.094619019478566,234,65372.523418966586,272418.3244733848
Freddie/Mendeley SF mortgage FM48 both,main external economic replication,"48-month horizon, red+green, OOT split; all-candidate LP certified",3173355,0.0145435981792141,0.7838634726333499,0.0517822051269566,0.0128541034734516,0.974523173547136,0.5,0.9907116706887202,True,True,1396053,all,1396053,1291227.5801824057,1305409.0552784826,14181.4750960769,0.0108636254963404,143,20879.088677396183,160874.9000793736
