learner,window_id,taxonomy_groups,conformal_group,alpha,fit_rows,fit_defaults,fit_nondefaults,fit_default_prevalence,finite_sample_rank,boundary_count,boundary_closed_form,phase_margin,frozen_fit_rows,frozen_finite_sample_rank,frozen_threshold,recomputed_threshold,threshold_gap,threshold_below_half,recomputed_residual_below_threshold,recomputed_residual_equal_threshold,recomputed_residual_above_threshold,frozen_residual_below_threshold,frozen_residual_equal_threshold,frozen_residual_above_threshold,recomputed_score_min,recomputed_score_max,frozen_score_min,frozen_score_max,fit_score_max_nondefault,fit_score_max_default,both_classes_nonempty,count_nondefault_score_below_half,count_default_score_above_half,exact_half_criterion_expected,exact_half_criterion_observed,exact_half_criterion_pass,max_score_below_half_condition,phase_margin_half_check_applicable,phase_margin_half_check_pass,no_interleaving_condition,expected_threshold_source_branch,threshold_source_branch,phase_margin_source_check_applicable,phase_margin_source_check_pass,boundary_identity_reconciles,rows_reconcile,rank_reconciles,threshold_reconciles,tie_counts_reconcile,score_extrema_reconcile,rank_bracket_reconciles,cell_reconciles
catboost_platt,w01_2012m01_m06,5,0,0.1,1829,96,1733,0.05248769819573537,1647,182,182,-86,1829,1647,0.049113187946657616,0.049113187946657616,0.0,True,1646,1,182,1646,1,182,0.009701465766812493,0.05025870117266396,0.009701465766812493,0.05025870117266396,0.05025870117266396,0.04986555255685372,True,1733,0,True,True,True,True,True,True,True,nondefault_mirror,nondefault_mirror,True,True,True,True,True,True,True,True,True,True
catboost_platt,w01_2012m01_m06,5,1,0.1,2437,190,2247,0.07796471070988921,2195,242,242,-52,2437,2195,0.07964589698302632,0.07964589698302632,0.0,True,2194,1,242,2194,1,242,0.05029026008180106,0.08036503136586999,0.05029026008180106,0.08036503136586999,0.08036503136586999,0.08015305591218876,True,2247,0,True,True,True,True,True,True,True,nondefault_mirror,nondefault_mirror,True,True,True,True,True,True,True,True,True,True
catboost_platt,w01_2012m01_m06,5,2,0.1,3249,379,2870,0.11665127731609726,2925,324,324,55,3249,2925,0.8919735883395368,0.8919735883395368,0.0,False,2924,1,324,2924,1,324,0.08037134402127445,0.11187745514731459,0.08037134402127445,0.11187745514731459,0.11187745514731459,0.11186231660322708,True,2870,0,False,False,True,True,True,True,True,default_mirror,default_mirror,True,True,True,True,True,True,True,True,True,True
catboost_platt,w01_2012m01_m06,5,3,0.1,3603,556,3047,0.15431584790452402,3244,359,359,197,3603,3244,0.8617614186932525,0.8617614186932525,0.0,False,3243,1,359,3243,1,359,0.1118957731833843,0.15326107739536926,0.1118957731833843,0.15326107739536926,0.15326107739536926,0.1532592704631575,True,3047,0,False,False,True,True,True,True,True,default_mirror,default_mirror,True,True,True,True,True,True,True,True,True,True
catboost_platt,w01_2012m01_m06,5,4,0.1,3830,823,3007,0.21488250652741514,3448,382,382,441,3830,3448,0.8095744723631617,0.8095744723631617,0.0,False,3447,1,382,3447,1,382,0.1532638278468384,0.5281745670852075,0.1532638278468384,0.5281745670852075,0.45219687935374553,0.5281745670852075,True,3007,1,False,False,True,False,False,True,True,default_mirror,default_mirror,True,True,True,True,True,True,True,True,True,True
catboost_platt,w02_2012m02_m07,5,0,0.1,1943,97,1846,0.049922799794132784,1750,193,193,-96,1943,1750,0.04900395264617657,0.04900395264617657,0.0,True,1749,1,193,1749,1,193,0.009701465766812493,0.05025870117266396,0.009701465766812493,0.05025870117266396,0.05025870117266396,0.04986555255685372,True,1846,0,True,True,True,True,True,True,True,nondefault_mirror,nondefault_mirror,True,True,True,True,True,True,True,True,True,True
catboost_platt,w02_2012m02_m07,5,1,0.1,2647,217,2430,0.0819795995466566,2384,263,263,-46,2647,2384,0.07978766496058752,0.07978766496058752,0.0,True,2383,1,263,2383,1,263,0.05029026008180106,0.080358953595577,0.05029026008180106,0.080358953595577,0.080358953595577,0.08015305591218876,True,2430,0,True,True,True,True,True,True,True,nondefault_mirror,nondefault_mirror,True,True,True,True,True,True,True,True,True,True
catboost_platt,w02_2012m02_m07,5,2,0.1,3621,422,3199,0.11654239160452913,3260,361,361,61,3621,3260,0.8920116585417792,0.8920116585417792,0.0,False,3259,1,361,3259,1,361,0.08037134402127445,0.11188898033944253,0.08037134402127445,0.11188898033944253,0.11187745514731459,0.11188898033944253,True,3199,0,False,False,True,True,True,True,True,default_mirror,default_mirror,True,True,True,True,True,True,True,True,True,True
catboost_platt,w02_2012m02_m07,5,3,0.1,4098,661,3437,0.1612981942410932,3690,408,408,253,4098,3690,0.862876020574146,0.862876020574146,0.0,False,3689,1,408,3689,1,408,0.1118957731833843,0.15326107739536926,0.1118957731833843,0.15326107739536926,0.15326107739536926,0.1532592704631575,True,3437,0,False,False,True,True,True,True,True,default_mirror,default_mirror,True,True,True,True,True,True,True,True,True,True
catboost_platt,w02_2012m02_m07,5,4,0.1,4365,951,3414,0.21786941580756014,3930,435,435,516,4365,3930,0.8111630187017316,0.8111630187017316,0.0,False,3929,1,435,3929,1,435,0.1532638278468384,0.4831174891615209,0.1532638278468384,0.4831174891615209,0.45219687935374553,0.4831174891615209,True,3414,0,False,False,True,True,True,True,True,default_mirror,default_mirror,True,True,True,True,True,True,True,True,True,True
catboost_platt,w03_2012m03_m08,5,0,0.1,2182,107,2075,0.04903758020164986,1965,217,217,-110,2182,1965,0.048815440069822844,0.048815440069822844,0.0,True,1964,1,217,1964,1,217,0.009701465766812493,0.05025870117266396,0.009701465766812493,0.05025870117266396,0.05025870117266396,0.05023659208224962,True,2075,0,True,True,True,True,True,True,True,nondefault_mirror,nondefault_mirror,True,True,True,True,True,True,True,True,True,True
catboost_platt,w03_2012m03_m08,5,1,0.1,2931,232,2699,0.0791538723984988,2639,292,292,-60,2931,2639,0.07970959229097281,0.07970959229097281,0.0,True,2638,1,292,2638,1,292,0.05029026008180106,0.080358953595577,0.05029026008180106,0.080358953595577,0.080358953595577,0.08015763707167586,True,2699,0,True,True,True,True,True,True,True,nondefault_mirror,nondefault_mirror,True,True,True,True,True,True,True,True,True,True
